,District,School Code,School Name,number,score,vote
617,Sweetwater Union High,3731155,Options Secondary,103,42.4077669903,0.754016957886
618,San Francisco Unified,102103,Jordan (June) School for Equi,76,8.01315789474,0.857183118439
619,Cloverdale Unified,4930855,Cloverdale High,163,29.5705521472,0.625
620,Redondo Beach Unified,1937143,Redondo Union High,460,58.6195652174,0.71605516872
621,Centinela Valley Union High,118521,Centinela Valley Independent,35,11.1428571429,0.75959933222
622,Oxnard Union High,5631742,Channel Islands High,1501,34.6908727515,0.593989852999
623,West Contra Costa Unified,732941,El Cerrito Senior High,231,34.696969697,0.889901823282
624,Napa County Office of Education,2830099,Napa County Community,60,3.5,0.693938949222
625,Long Beach Unified,1937176,Reid High,99,10.0,0.737823921668
626,Newport-Mesa Unified,3034907,Back Bay High (Cont.),56,8.75,0.47624178429
627,Ramona City Unified,102178,Future Bound Independent Stud,12,8.0,0.315043052507
628,Napa Valley Unified,2830115,New Technology High,109,66.8440366972,0.693938949222
629,Sanger Unified,1036086,"Kings River High, Cont.",29,0.0,0.374449339207
630,Cotati-Rohnert Park Unified,4935482,Rancho Cotate High,382,41.6230366492,0.729064800041
631,Santa Ana Unified,6115133,Community Day Inter. and High,58,3.60344827586,0.799118079373
632,Napa Valley Unified,2830149,Valley Oak High,64,6.5625,0.635677083333
633,Anaheim Union High,3033057,Katella High,1660,45.4578313253,0.570533680443
634,Los Angeles Unified,1937226,Reseda Senior High,953,46.9118572928,0.695140327745
635,Saddleback Valley Unified,3034956,Mission Viejo High,393,57.7811704835,0.475959441779
636,Lake Tahoe Unified,937805,South Tahoe High,262,32.4198473282,0.64748427673
637,Mendocino County Office of Education,2330447,Mendocino County,30,3.26666666667,0.634938728983
638,Natomas Unified,102236,Inderkum High,273,45.347985348,0.673297678059
639,Fresno Unified,1034214,McLane High,926,24.7840172786,0.638969873664
640,Rialto Unified,3633005,Eisenhower Senior High,1354,36.229689808,0.797048080953
641,Valley Center-Pauma Unified,3731312,Oak Glen High,27,0.0,0.406335549472
642,Los Angeles Unified,6016885,Elizabeth Learning Center,523,44.4072657744,0.895141406817
643,Santa Ana Unified,3034998,Lorin Griset Academy,207,8.63285024155,0.673099513341
644,Firebaugh-Las Deltas Joint Unified,1030121,Firebaugh High,405,43.1777777778,0.395764394441
645,New Haven Unified,110460,Core Learning Academy,30,7.0,0.811079667267
646,Oakland Unified,118653,Ralph J. Bunche High,12,9.0,0.836138613861
647,Maxwell Unified,634758,Maxwell High,41,41.6341463415,0.327423167849
648,Santa Maria Joint Union High,102285,Pioneer Valley High,1683,41.0077243018,0.488544474394
649,Placer Union High,102293,Foresthill High,12,42.0,0.669291338583
650,Tahoe-Truckee Joint Unified,3130010,North Tahoe High,88,22.8977272727,0.738916256158
651,Antioch Unified,110494,Bidwell Continuation High,20,10.0,0.671317619435
652,Taft Union High,1535905,Taft Union High,269,40.156133829,0.191363777571
653,Newport-Mesa Unified,3035045,Newport Harbor High,552,52.9438405797,0.47624178429
654,Imperial Unified,1331115,Imperial Ave Holbrook High,30,22.9333333333,0.610309278351
655,Murrieta Valley Unified,118794,Murrieta Mesa High,556,63.2104316547,0.551023137622
656,Santa Rosa High,4935607,"Ridgway High, Cont.",70,21.2285714286,0.776655629139
657,Madera Unified,2035640,Furman (Duane E.) High (Indep,83,13.4337349398,0.589822329458
658,Hanford Joint Union High,1634245,"Johnson High, Continuation",38,8.0,0.41235459286
659,Cabrillo Unified,4132817,Half Moon Bay High,297,34.7306397306,0.779235816287
660,Alvord Unified,3330008,La Sierra High,1546,45.4864165589,0.641564318035
661,Irvine Unified,3035102,University High,117,56.2991452991,0.631859982201
662,Morgan Hill Unified,102368,Ann Sobrato High,467,42.6338329764,0.62508259548
663,Tulare Joint Union High,5435367,Valley High,15,0.0,0.509095204347
664,Riverside Unified,3330024,Arlington High,926,46.475161987,0.512108731466
665,Coachella Valley Unified,3330032,La Familia Continuation High,63,2.0,0.423395445135
666,Modoc Joint Unified,2535409,Modoc High,12,42.0,0.263610315186
667,San Rafael City High,2134005,Terra Linda High,279,37.9749103943,0.815808609657
668,Madera Unified,2035707,Madera High,1130,39.6920353982,0.589822329458
669,Modesto City High,110593,James C. Enochs High,607,56.4431630972,0.503361941726
670,Winters Joint Unified,5738505,Winters High,193,34.3626943005,0.646812957158
