,latitude,longitude,precinct,zip
120,38.5477579711,-122.178716944,055-411412,94576.0
121,38.4032767478,-122.20594912,055-411411,94602.0
122,38.3204640003,-122.256042,055-411221,94951.0
123,38.3431385845,-122.333914907,055-311571,95431.0
124,38.3188986899,-122.273208118,055-421227,95615.0
125,38.3100133395,-122.315601913,055-221564,94559.0
126,38.3078906198,-122.315000288,055-221565,94559.0
127,38.3188428667,-122.317475955,055-221562,94850.0
128,38.3158962201,-122.315648915,055-221563,94559.0
129,38.2910447777,-122.270192657,055-121135,94612.0
130,38.498907192,-122.432207847,055-312602,94573.0
131,38.2904698194,-122.269540822,055-121136,94612.0
132,38.3075670209,-122.300245317,055-421224,94607.0
133,38.3236552689,-122.295900391,055-421423,94706.0
134,38.3370324213,-122.284722239,055-311471,94803.0
135,38.3071427132,-122.302169326,055-421223,94607.0
136,38.1648474845,-122.241826718,055-561340,94610.0
137,38.3094235813,-122.327215159,055-121162,94559.0
138,38.3100030003,-122.333624946,055-121161,94559.0
139,38.3088192872,-122.293314264,055-421222,94706.0
140,38.2798233454,-122.255849726,055-121132,94533.0
141,38.3366823973,-122.304953099,055-311671,94403.0
142,38.2857863561,-122.270014413,055-121133,94612.0
143,38.2561904739,-122.348569316,055-111752,94559.0
144,38.3207209702,-122.308127944,055-221561,94951.0
145,38.2916320941,-122.332988519,055-111751,94559.0
146,38.3154300002,-122.32553,055-221162,94559.0
147,38.4056980017,-122.356599743,055-351613,94599.0
148,38.3123055066,-122.336860718,055-221161,94806.0
149,38.3278754808,-122.315293892,055-221574,94559.0
150,38.3362351375,-122.321719271,055-221575,94805.0
151,38.317909574,-122.327164736,055-221573,95615.0
152,38.320345907,-122.329672282,055-221572,94951.0
153,38.3474433535,-122.328493946,055-221672,95431.0
154,38.3396220116,-122.324363253,055-221673,94923.0
155,38.3472219948,-122.329085684,055-221671,95431.0
156,38.3343320015,-122.315210775,055-221676,94559.0
157,38.3144526447,-122.304408628,055-421521,94559.0
158,38.3441332422,-122.312525648,055-221674,94559.0
159,38.3006303181,-122.310742727,055-221552,94559.0
160,38.3044934008,-122.277804601,055-121222,94592.0
161,38.3052343246,-122.277728029,055-121223,94592.0
162,38.1963772629,-122.258531814,055-561141,94503.0
163,38.4958921051,-122.24322809,055-312401,94558.0
164,38.5636103311,-122.581501171,055-312706,95409.0
165,38.3253169795,-122.285369941,055-421424,94702.0
166,38.1641309035,-122.24182414,055-561348,94610.0
167,38.3241185411,-122.341915199,055-221761,94931.0
168,38.3157584982,-122.345041215,055-221762,94402.0
169,38.3043359659,-122.39569401,055-211751,94567.0
170,37.4843754863,-121.855815962,085-5000,94586.0
171,37.4712815583,-122.070975893,085-2000,94043.0
172,37.4706765321,-122.069977501,085-5000,94043.0
173,37.4372077441,-122.027381569,085-1000,95002.0
174,37.4637883663,-122.059787435,085-4000,95018.0
175,37.4608877654,-121.901370951,085-4406,94061.0
176,37.4600511922,-122.045857101,085-1000,95070.0
177,37.4569641574,-121.843477104,085-5000,95120.0
178,37.4538459567,-121.922817523,085-4400,95124.0
179,37.4526038184,-122.08354278,085-5000,94027.0
180,37.4546733381,-121.902396391,085-4422,95131.0
181,37.4506422764,-122.084963718,085-2400,94040.0
182,37.4491849826,-122.154317102,085-2056,94301.0
183,37.4487466364,-122.133445767,085-2081,94301.0
184,37.4468085432,-122.121026263,085-2090,94303.0
185,37.4459360063,-122.059710492,085-4000,95018.0
186,37.4467661756,-121.883003368,085-4417,95035.0
187,37.4372664648,-122.160161859,085-2500,94301.0
188,37.4470490822,-121.891283795,085-4423,95125.0
189,37.4433968485,-122.138685776,085-2096,94301.0
190,37.4459816828,-121.90895093,085-4413,95035.0
191,37.4421517812,-122.041502125,085-4000,95002.0
192,37.4497193258,-121.462661439,085-6492,95363.0
193,37.4353010391,-122.028863358,085-4000,95002.0
194,37.4410117582,-121.899221831,085-4424,95131.0
195,37.4404906765,-122.128175092,085-2098,94306.0
196,37.436990129,-122.1105337,085-2107,94303.0
197,37.4400064392,-121.91457371,085-4401,94568.0
198,37.4334907071,-122.123211921,085-2129,94306.0
199,37.434435357,-122.107843387,085-2117,94303.0
200,37.4372077441,-122.027381569,085-1000,95002.0
201,37.4356897335,-122.132951535,085-2038,94580.0
202,37.4352223784,-122.096422211,085-2400,94024.0
203,37.4353125211,-122.099963573,085-2000,94555.0
204,37.4356770986,-122.054106831,085-4000,95002.0
205,37.4319756354,-122.105253474,085-2110,94303.0
206,37.4353010391,-122.028863358,085-4000,95002.0
207,37.4338780684,-122.059659969,085-5000,95018.0
208,37.4355490105,-121.868014759,085-4400,95035.0
209,37.4320564448,-122.136564614,085-2034,94553.0
210,37.4318552054,-122.104995987,085-2112,94303.0
211,37.4346841396,-121.888390616,085-4440,95035.0
212,37.4294326025,-122.105212548,085-2118,94303.0
213,37.4237029785,-122.132982014,085-2010,94580.0
214,37.4275025057,-122.100543553,085-2000,95134.0
215,37.3902420354,-121.700917892,085-5000,95140.0
216,37.4261363848,-122.127123118,085-2028,94306.0
217,37.4300716133,-121.908999483,085-4404,95110.0
218,37.4263433537,-122.057990467,085-5000,95134.0
219,37.4212412352,-122.125132488,085-2019,94306.0
220,37.4269246779,-121.880989349,085-4420,95134.0
221,37.4236271586,-121.979874594,085-1000,95134.0
222,37.4259217396,-121.837752104,085-4400,95134.0
223,37.4256765548,-121.91662173,085-4430,95126.0
224,37.4217961817,-122.100347129,085-2000,94306.0
225,37.4197714718,-122.126781159,085-2014,94306.0
226,37.4213808337,-121.976559986,085-1000,95134.0
227,37.4213266622,-121.838997368,085-1000,95132.0
228,37.4225909027,-121.926744339,085-1000,95032.0
229,37.4194062132,-122.101292912,085-2000,94305.0
230,37.4180347682,-122.002628977,085-4000,94305.0
231,37.4139583445,-122.149603571,085-2545,94043.0
232,37.4214988363,-121.850337841,085-1000,94566.0
233,37.4190256622,-122.060556694,085-5000,94043.0
234,37.4185963419,-121.971306396,085-1000,94305.0
235,37.4132624398,-121.84291436,085-1431,95120.0
236,37.419367868,-121.959020082,085-1000,95134.0
237,37.4204758047,-121.847280113,085-5000,95116.0
238,37.4169259472,-122.086827175,085-2409,94043.0
239,37.4127143792,-122.115652357,085-2015,94303.0
240,37.4158594668,-121.955204688,085-1402,95008.0
241,37.4180487886,-121.972612868,085-1000,94583.0
242,37.4191920106,-121.855034799,085-5000,95116.0
243,37.4122175198,-121.986509696,085-4000,94089.0
244,37.4128515094,-122.098901855,085-2402,94555.0
245,37.4134727916,-122.125896594,085-2122,94306.0
246,37.4128667817,-122.037238473,085-4000,94089.0
247,37.4138099374,-121.879968457,085-4403,94043.0
248,37.4080705778,-121.768940219,085-5000,95132.0
249,37.4097576813,-121.86113911,085-1450,95133.0
250,37.4063877337,-122.15592881,085-2500,94305.0
251,37.4065169941,-121.856798293,085-1449,95133.0
252,37.4047142576,-122.101420221,085-2459,94043.0
253,37.4053445226,-121.849653109,085-1448,94566.0
254,37.4059483535,-121.8862017,085-1411,95112.0
255,37.4064041721,-121.922352297,085-1461,95124.0
256,37.4026056591,-122.069850888,085-2953,94043.0
257,37.4043024031,-122.02041237,085-4066,94089.0
258,37.4064290044,-121.795271673,085-1000,95127.0
259,37.4059338117,-121.789046429,085-1000,95127.0
260,37.4011057853,-122.037140905,085-4000,94542.0
261,37.4057018852,-121.789187037,085-1000,95127.0
262,37.4000406318,-121.98685771,085-4008,95130.0
263,37.405659602,-121.788941842,085-1000,95127.0
264,37.4044560165,-121.781845485,085-5000,95148.0
265,37.4043214498,-121.902786256,085-1467,95131.0
266,37.4043260585,-121.890465185,085-1000,95113.0
267,37.4013347236,-122.113486522,085-2305,94303.0
268,37.3943125391,-122.152071816,085-2000,94301.0
269,37.4035673153,-121.791966602,085-1000,95127.0
270,37.4033150656,-121.794355159,085-1000,95127.0
271,37.3988713827,-122.02772138,085-4015,94085.0
272,37.3979859677,-121.96062832,085-4292,95054.0
273,37.4007469292,-121.949356031,085-4269,95134.0
274,37.4000406318,-121.98685771,085-4060,95130.0
275,37.3998906145,-121.847075606,085-1447,95116.0
276,37.395456231,-121.757437289,085-1000,95132.0
277,37.3969976979,-122.081932963,085-2419,94041.0
278,37.3933970293,-122.151445624,085-2500,95054.0
279,37.3930631729,-122.096402099,085-2428,95054.0
280,37.3967537196,-121.853765138,085-1435,94586.0
281,37.3956907469,-121.94062174,085-4332,95054.0
282,37.3953471423,-121.869784442,085-6401,95035.0
283,37.3921667281,-122.16896096,085-2000,94305.0
284,37.3926555507,-122.095926893,085-2441,94024.0
285,37.3952012625,-121.873919917,085-1413,95054.0
286,37.3952578016,-121.80579323,085-1801,95127.0
287,37.3902631892,-122.046372761,085-2400,95070.0
288,37.3936789761,-121.827187332,085-1000,95054.0
289,37.3918053029,-121.827886107,085-6515,95111.0
290,37.3895950785,-122.136349969,085-2000,94553.0
291,37.3921174825,-121.816950686,085-1570,95054.0
292,37.3919974264,-121.808800345,085-1000,95121.0
293,37.3886677354,-122.10463738,085-2432,94041.0
294,37.3921449431,-121.816474152,085-6470,95348.0
295,37.3886602169,-122.094843156,085-2431,94041.0
296,37.3909582779,-121.879120958,085-1469,95131.0
297,37.3868347149,-122.152694065,085-2800,95131.0
298,37.3886245712,-121.995820093,085-4012,94085.0
299,37.3884880376,-121.999091294,085-4029,94085.0
300,37.3858962507,-122.052361591,085-2470,94041.0
301,37.3894202994,-121.868286682,085-1415,95035.0
302,37.386185704,-122.060226635,085-2460,94041.0
303,37.3842074018,-122.08072912,085-2442,95014.0
304,37.3885616108,-121.70089775,085-5000,94085.0
305,37.3865333549,-121.830094712,085-1425,95131.0
306,37.3826660962,-121.870279839,085-1414,95035.0
307,37.3815370215,-121.824329788,085-1443,95111.0
308,37.3816127689,-122.100590893,085-2342,94040.0
309,37.3813542443,-122.114240642,085-2323,94040.0
310,37.3843205038,-121.836405886,085-1426,95122.0
311,37.3776134652,-121.995912757,085-4200,94086.0
312,37.3796963495,-121.8672635,085-1416,95133.0
313,37.3796946704,-121.939556295,085-1000,95053.0
314,37.3781262426,-122.067708193,085-2400,94040.0
315,37.3807985655,-121.858334345,085-1000,95133.0
316,37.3791761126,-121.83873207,085-1548,95133.0
317,37.3776111257,-121.996103357,085-4200,94086.0
318,37.3769753939,-121.943016355,085-1000,94028.0
319,37.3785821331,-121.826399619,085-6454,95111.0
320,37.373360943,-122.068595964,085-2439,94086.0
321,37.3719293938,-121.930108909,085-1000,95073.0
322,37.3733678222,-121.943462912,085-4200,94086.0
323,37.3726115371,-121.799687591,085-6464,95127.0
324,37.3735043908,-121.917975925,085-1000,95126.0
325,37.3674729709,-121.924787376,085-1000,94535.0
326,37.3715280582,-121.916415469,085-1303,95133.0
327,37.3659223301,-121.936050764,085-1000,95128.0
328,37.3710802914,-121.798021689,085-6463,95127.0
329,37.3674198456,-121.901103933,085-1000,95131.0
330,37.3680370752,-122.067783789,085-2440,94043.0
331,37.3680805961,-122.065117475,085-2467,94086.0
332,37.3695345799,-121.865182907,085-1502,95133.0
333,37.3667410361,-122.063274002,085-2400,94086.0
334,37.3669047535,-121.987187485,085-4200,95051.0
335,37.3680364153,-121.880385748,085-1483,95133.0
336,37.3672584087,-121.901082526,085-1370,95131.0
337,37.367840231,-121.846353008,085-1505,95133.0
338,37.3650271868,-121.903877513,085-1366,95110.0
339,37.3657104379,-121.93619467,085-1000,95128.0
340,37.3632791287,-122.089259587,085-2400,94024.0
341,37.3634197234,-121.874517391,085-1481,95133.0
342,37.3640619611,-121.919660411,085-1369,95126.0
343,37.3652851932,-121.850133711,085-1509,95116.0
344,37.3584826445,-122.17419948,085-2873,94022.0
345,37.364568133,-121.862148988,085-1543,95133.0
346,37.3641383882,-121.891656224,085-1000,95125.0
347,37.3612681873,-122.062946101,085-2464,94087.0
348,37.3568896316,-122.169057131,085-2000,94022.0
349,37.3625306876,-121.884215594,085-1000,95112.0
350,37.3595711274,-122.062986297,085-2345,94022.0
351,37.3579328097,-122.070525913,085-2343,94043.0
352,37.3594235051,-122.041513711,085-4047,94087.0
353,37.3590457302,-122.032275031,085-4085,94087.0
354,37.3617054844,-121.855430345,085-1508,95116.0
355,37.359819577,-121.932155081,085-1000,95053.0
356,37.3560313499,-121.942312097,085-4213,95053.0
357,37.3531937736,-121.865538155,085-1324,95116.0
358,37.3583309269,-121.906967315,085-1000,95110.0
359,37.3564542231,-121.905705267,085-1000,95110.0
360,37.3585420794,-121.880251588,085-1315,95112.0
361,37.35748566,-121.931784305,085-1000,94022.0
362,37.3578425819,-121.856315127,085-1000,95116.0
363,37.3545446765,-122.032328945,085-4000,94087.0
364,37.3488480882,-122.150627692,085-5000,95053.0
365,37.3564967838,-121.932115037,085-1301,95053.0
366,37.3564542231,-121.905705267,085-1000,95110.0
367,37.3553293897,-121.850210117,085-1000,95116.0
368,37.3523319362,-122.085728615,085-2300,94024.0
369,37.352329124,-122.083574571,085-2336,94024.0
370,37.3521654935,-122.063252855,085-2339,94024.0
371,37.3522014744,-122.060552541,085-4043,94024.0
372,37.3538145371,-121.91136566,085-1000,95110.0
373,37.3518000685,-121.910513865,085-1000,95110.0
374,37.3536491685,-121.890540408,085-1317,95113.0
375,37.3523869597,-121.959447722,085-4255,95050.0
376,37.3530982576,-121.794860257,085-1813,95127.0
377,37.3521919253,-121.910020633,085-1000,95110.0
378,37.3527671114,-121.855615683,085-1517,95116.0
379,37.3488515207,-122.150627768,085-2200,95053.0
380,37.3481438384,-121.586742778,085-5000,95051.0
381,37.3511837495,-121.932120273,085-1360,95050.0
382,37.3505251334,-121.909122122,085-1000,95110.0
383,37.3480270233,-121.929699522,085-4205,95053.0
384,37.3469636604,-121.858868298,085-1325,95116.0
385,37.3448604029,-122.03798776,085-4155,94087.0
386,37.346011238,-121.921964583,085-1304,95110.0
387,37.347341767,-121.811170971,085-1525,95334.0
388,37.3432307456,-121.916326251,085-1306,95126.0
389,37.3420012027,-121.890652209,085-1321,95113.0
390,37.3442503706,-121.931474528,085-1365,95112.0
391,37.3421506032,-122.091226169,085-5000,94024.0
392,37.3406255802,-122.089546333,085-5000,94024.0
393,37.3434097432,-121.796081621,085-5507,95112.0
394,37.3403518746,-122.089671212,085-2826,94024.0
395,37.3436408279,-121.837520802,085-1530,95122.0
396,37.3324526137,-122.096218289,085-5000,94024.0
397,37.3386332075,-122.107312685,085-2200,95007.0
398,37.3406303837,-121.913383724,085-1307,95110.0
399,37.3387707749,-122.043123491,085-4089,94087.0
400,37.3378249205,-122.092701922,085-5000,94024.0
401,37.3380529069,-122.093687244,085-5000,94024.0
402,37.3379714839,-122.095381533,085-5000,94024.0
403,37.3412455962,-121.805678691,085-1000,95127.0
404,37.3382361932,-122.059761901,085-3600,95018.0
405,37.3379219122,-121.978815239,085-5648,95051.0
406,37.3376081114,-122.030455894,085-3600,94087.0
407,37.3393601812,-121.780481023,085-5451,95148.0
408,37.3377644574,-122.007131382,085-3635,95129.0
409,37.3361523648,-121.890543305,085-1339,95113.0
410,37.3403978236,-121.739239506,085-5000,95148.0
411,37.3353378336,-122.064854755,085-3600,95148.0
412,37.334290275,-122.077376887,085-2300,94041.0
413,37.3376507021,-121.887404354,085-1338,95113.0
414,37.338659409,-121.785156108,085-1881,95119.0
415,37.3363573416,-121.95020596,085-4353,95050.0
416,37.3367924193,-121.909222623,085-1359,95110.0
417,37.3339277005,-122.050869212,085-4000,95113.0
418,37.3348506505,-121.829030251,085-1531,95122.0
419,37.3301505707,-122.084516617,085-2825,94040.0
420,37.3373720489,-121.791699232,085-1820,95148.0
421,37.3343596503,-122.032372523,085-3605,94087.0
422,37.3360129432,-121.877520306,085-1356,95148.0
423,37.3331102447,-122.068698714,085-2812,95113.0
424,37.334933579,-121.866865818,085-1000,95113.0
425,37.3331102447,-122.068698714,085-2353,95113.0
426,37.3367267733,-121.794978424,085-1821,95148.0
427,37.3357798407,-121.848334526,085-1709,95148.0
428,37.3383653169,-121.586825875,085-5000,95148.0
429,37.3315257407,-121.93424599,085-1618,95128.0
430,37.3309958571,-122.13269661,085-5000,94580.0
431,37.3327017363,-122.061416356,085-3600,95113.0
432,37.3354752548,-121.801336086,085-1887,95148.0
433,37.3327177942,-122.01433642,085-3600,95066.0
434,37.3309958571,-122.13269661,085-5000,94580.0
435,37.3304842266,-122.14624551,085-5000,94022.0
436,37.3305365635,-122.132712374,085-2000,94580.0
437,37.3332281574,-121.814404434,085-1000,95113.0
438,37.3342368052,-121.808398945,085-1000,95121.0
439,37.333101337,-121.875359715,085-1334,95113.0
440,37.3320245038,-121.899238039,085-1364,95113.0
441,37.3319371872,-121.901209069,085-1367,95113.0
442,37.3318226797,-121.903792752,085-1361,95113.0
443,37.3317351797,-121.90561663,085-1625,94074.0
444,37.3315267877,-121.909940274,085-1669,95110.0
445,37.3315800412,-121.865075982,085-1000,95113.0
446,37.3299935726,-121.967453275,085-4309,95117.0
447,37.3299577824,-121.964165873,085-4200,95054.0
448,37.3311150391,-121.865851754,085-1000,95365.0
449,37.3283911019,-121.817007413,085-1535,95122.0
450,37.3317273571,-121.782899083,085-1824,94074.0
451,37.3312066938,-121.81286055,085-1849,95122.0
452,37.3287956279,-121.936552464,085-1619,95128.0
453,37.3287770216,-121.932692668,085-1586,95122.0
454,37.3258860951,-121.913744619,085-1622,95126.0
455,37.3296506077,-121.842443681,085-1711,95122.0
456,37.3303884832,-121.770847515,085-1897,95148.0
457,37.3251182374,-122.08508064,085-5000,94040.0
458,37.3296842362,-121.793291335,085-1823,95122.0
459,37.3271018021,-121.940674004,085-1000,95126.0
460,37.3255866831,-122.073430214,085-3600,95014.0
461,37.3287793086,-121.763998431,085-1808,95122.0
462,37.3276633094,-121.861415156,085-1000,95133.0
463,37.3241668907,-122.077899275,085-3600,95014.0
464,37.3256662603,-121.865713505,085-1000,95126.0
465,37.3237067019,-122.075303019,085-3600,94041.0
466,37.3264107859,-121.95015396,085-1000,95126.0
467,37.3264573686,-121.900396122,085-1600,95126.0
468,37.3257883452,-121.94953796,085-4200,95126.0
469,37.3257585987,-121.946667343,085-4200,95126.0
470,37.3232803009,-122.078845343,085-5000,95014.0
471,37.3262486757,-121.883161757,085-1343,95112.0
472,37.3261202582,-121.873031647,085-1702,95126.0
473,37.3254423576,-121.828938602,085-1539,95122.0
474,37.3240993125,-121.925816041,085-5000,95126.0
475,37.3261307099,-121.847254257,085-1760,95122.0
476,37.3221362184,-122.079483271,085-5000,95014.0
477,37.3228782383,-122.052842814,085-3651,95070.0
478,37.322904993,-122.023181242,085-3612,94086.0
479,37.3253703097,-121.799266697,085-1826,95127.0
480,37.324092392,-121.92488897,085-1000,95126.0
481,37.3229505294,-122.007847272,085-3655,95129.0
482,37.324111103,-121.89046371,085-1346,95113.0
483,37.3248595299,-121.787154428,085-1830,95148.0
484,37.3234452292,-121.913744877,085-1978,95126.0
485,37.3158736165,-122.077655402,085-5000,95128.0
486,37.3231279838,-121.836175176,085-1713,95122.0
487,37.3238395416,-121.808505824,085-1848,95121.0
488,37.3228457918,-121.86019417,085-1000,95133.0
489,37.3215839195,-121.783065451,085-1831,95019.0
490,37.3182674298,-121.858494436,085-1000,95133.0
491,37.321532737,-121.862094573,085-1000,95133.0
492,37.3182480258,-122.023158555,085-3617,94086.0
493,37.3198029411,-121.93935535,085-1000,95128.0
494,37.316525887,-122.164702638,085-2001,95128.0
495,37.3176577475,-122.015669632,085-3620,94089.0
496,37.3186402449,-121.973723657,085-1000,95117.0
497,37.3188927734,-121.882205369,085-1345,95112.0
498,37.3173031854,-121.974873496,085-1000,95128.0
499,37.3176970228,-121.913790907,085-1000,95126.0
500,37.3173073089,-121.940485204,085-1000,95128.0
501,37.3185687605,-121.831466261,085-1715,95123.0
502,37.3186866234,-121.784116241,085-1869,95119.0
503,37.3152287667,-122.086581886,085-5000,95014.0
504,37.3152102522,-122.077655156,085-3600,95014.0
505,37.3171535076,-121.931829308,085-5000,95128.0
506,37.3167391968,-121.950069476,085-1000,95128.0
507,37.3189618984,-121.758492369,085-1700,95012.0
508,37.3183537055,-121.802086908,085-1829,95127.0
509,37.3168543641,-121.925359707,085-5000,95128.0
510,37.3167881888,-121.919979634,085-1000,95128.0
511,37.3174903736,-121.871614381,085-1000,95128.0
512,37.3171392253,-121.897822352,085-1347,95131.0
513,37.3169549841,-121.897823183,085-1662,95131.0
514,37.3168003108,-121.918979075,085-1000,95374.0
515,37.3168003108,-121.918979075,085-1000,95374.0
516,37.3178894001,-121.808045701,085-1847,95121.0
517,37.3160622991,-121.950063223,085-1601,95128.0
518,37.3163088893,-121.926676803,085-1679,95128.0
519,37.316436589,-121.914473803,085-1000,95128.0
520,37.3164443663,-121.913715625,085-1000,95128.0
521,37.3163939528,-121.916780643,085-1000,95126.0
522,37.3161194602,-121.907081419,085-1629,95128.0
523,37.3161723185,-121.888673155,085-1000,95128.0
524,37.3154088258,-121.888232917,085-1348,95128.0
525,37.3148450275,-121.903573774,085-1693,95128.0
526,37.3135517725,-121.817530015,085-1775,95121.0
527,37.3042264824,-121.71122505,085-5000,95121.0
528,37.3109510401,-121.913723489,085-1683,95117.0
529,37.3132382456,-121.87850022,085-1773,94517.0
530,37.3105943806,-121.832089346,085-1718,95123.0
531,37.3111287606,-121.824354633,085-1716,95117.0
532,37.3135547135,-121.794597587,085-1842,95121.0
533,37.3124370405,-121.801887548,085-1872,95121.0
534,37.3127681207,-121.763608166,085-1787,95139.0
535,37.3087853373,-122.07762959,085-5000,95014.0
536,37.3111382847,-121.895528543,085-1663,95117.0
537,37.3119513243,-121.804901838,085-1843,95121.0
