,District,School Code,School Name,number,score,vote
355,Fullerton Joint Union High,3033610,"La Vista High, Cont.",34,29.0,0.659428009506
356,Shasta Union High,4532750,Enterprise High,576,59.0694444444,0.288552604488
357,Lodi Unified,3934759,Tokay High,522,57.1494252874,0.393427658603
358,Lodi Unified,3934767,"Liberty High, Cont.",14,38.0,0.393427658603
359,Palos Verdes Peninsula Unified,1996552,Palos Verdes High,945,83.9026455026,0.576401356473
360,Monrovia Unified,1935923,Monrovia High,332,76.3403614458,0.688772993164
361,Val Verde Unified,109108,Citrus Hill High,123,63.6260162602,0.527151211362
362,Yuba City Unified,5139001,Yuba City High,471,56.7409766454,0.446681792399
363,Lodi Unified,3934783,Lodi High,800,64.43,0.536144578313
364,Carlsbad Unified,3730017,Carlsbad Village Academy,21,19.0,0.551598281038
365,Saint Helena Unified,2837102,Saint Helena High,162,79.7654320988,0.7784371909
366,San Dieguito Union High,3730033,Torrey Pines High,1159,82.7411561691,0.633263943723
367,Sweetwater Union High,3738234,Montgomery Senior High,15,60.0,0.682982917214
368,Temecula Valley Unified,3330495,Rancho Vista High,30,33.0,0.403044103547
369,Montebello Unified,1935998,Montebello High,51,60.5882352941,0.729598538062
370,Escondido Union High,3730058,San Pasqual High,702,79.8376068376,0.530306913564
371,Grossmont Union High,3730066,Valhalla High,994,68.4205231388,0.400525054218
372,Poway Unified,3730074,Mt. Carmel High,694,70.3314121037,0.591692046533
373,Fairfield-Suisun Unified,4836003,Sem Yeto Continuation High,31,16.0,0.668495814955
374,Lucia Mar Unified,4033205,Lopez Continuation High,37,19.0,0.530927105449
375,Anaheim Union High,3033784,Loara High,186,58.8655913978,0.646840608384
376,Mt. Diablo Unified,731836,Concord High,474,62.7489451477,0.684253756583
377,Hughson Unified,5032651,Hughson High,278,68.7338129496,0.414569215876
378,Sweetwater Union High,3730124,Southwest Senior High,12,58.0,0.682982917214
379,San Diego Unified,3730173,Serra High,402,74.0373134328,0.582085269983
380,Porterville Unified,5434113,Porterville High,265,61.5094339623,0.288544358312
381,San Diego Unified,3730181,Mira Mesa High,311,80.1318327974,0.603344308387
382,Los Angeles Unified,1936160,Nathaniel Narbonne Senior Hig,144,58.5416666667,0.68566883203
383,San Marcos Unified,3730215,Twin Oaks High,15,7.0,0.474605542036
384,Woodland Joint Unified,101162,Pioneer High,287,68.212543554,0.436161776368
385,Kern Union High,1534775,North High,722,46.4418282548,0.259946949602
386,Los Alamitos Unified,3033917,Los Alamitos High,1317,80.1769172361,0.515228426396
387,Kelseyville Unified,1734359,Kelseyville High,231,51.961038961,0.595893064704
388,Ventura Unified,5630793,Buena High,714,68.0392156863,0.642474811083
389,Garden Grove Unified,3033933,Los Amigos High,43,53.3255813953,0.526354465896
390,Rowland Unified,1936228,Nogales High,12,42.0,0.743741765481
391,Manteca Unified,3935103,Manteca High,350,46.7457142857,0.498116875228
392,Gonzales Unified,2730885,Gonzales High,11,45.0,0.705363596935
393,Manteca Unified,3935111,"Calla High, Cont.",33,6.0,0.498116875228
394,San Diego Unified,3730314,University City High,481,84.0103950104,0.544265673298
395,Torrance Unified,1936277,North High,279,64.6917562724,0.705769599387
396,Sacramento City Unified,3435419,McClatchy (C. K.) High,403,77.205955335,0.795069767442
397,Alvord Unified,3337128,Alvord Continuation High,12,8.0,0.643411521214
398,Jurupa Unified,3337136,Rubidoux High,81,50.2716049383,0.623540063377
399,San Diego Unified,3730371,San Diego SCPA,125,88.768,0.647322381054
400,Central Union High,1330133,Southwest High,102,71.8529411765,0.605322003578
401,Los Angeles Unified,1936350,North Hollywood Senior High,361,79.3850415512,0.806232062321
402,Sweetwater Union High,3730405,Bonita Vista Senior High,287,77.9790940767,0.670869631667
403,Southern Kern Unified,1534957,Rosamond High,182,52.6043956044,0.518327779461
404,Amador County Unified,330753,Amador High,320,62.55625,0.365688487585
405,West Contra Costa Unified,732164,De Anza Senior High,55,43.6727272727,0.8259762309
406,Yucaipa-Calimesa Joint Unified,101410,Oak View High School & Educat,27,3.88888888889,0.358327277532
407,Placer Union High,3132453,Del Oro High,1028,79.560311284,0.406476190476
408,Kings Canyon Joint Unified,1035310,Reedley High,227,78.1497797357,0.414856341976
409,Novato Unified,2133056,San Marin High,406,66.197044335,0.791972866026
410,Chaffey Joint Union High,3632205,Chaffey High,187,62.4652406417,0.67337139891
411,Vista Unified,3738705,Vista High,541,80.4473197782,0.519880774963
412,Norwalk-La Mirada Unified,1936467,Norwalk High,70,49.9571428571,0.658341764737
413,Norwalk-La Mirada Unified,1936475,"El Camino High, Cont.",11,30.0,0.682140178348
414,Anaheim Union High,3034204,Magnolia High,98,53.6530612245,0.646840608384
415,San Bernardino City Unified,3632221,Cajon High,407,61.7444717445,0.558927994834
416,Paradise Unified,437350,Paradise Senior High,611,55.3911620295,0.429176034916
417,Kern Union High,1535087,Shafter High,77,42.6753246753,0.569015444015
418,Fremont Unified,134270,Irvington High,264,72.0643939394,0.720711111111
419,Hamilton Unified,1133701,Hamilton High,57,42.1228070175,0.40020826102
420,Duarte Unified,1932482,Duarte High,79,53.2025316456,0.652655057047
421,Ramona City Unified,6106264,Ramona Community,75,90.92,0.334969170756
422,Visalia Unified,5434527,Redwood High,400,76.3725,0.573157315732
423,Alameda City Unified,134304,Island High  (Continuation),14,0.0,0.893149245892
424,Eureka City Schools,1232057,Zoe Barnum High,12,36.0,0.655882352941
425,Manteca Unified,101576,Weston Ranch High,85,54.9764705882,0.498116875228
426,Antelope Valley Union High,1936624,Palmdale High,200,53.1,0.553662314671
427,Carlsbad Unified,3730694,Carlsbad High,1321,79.0719152157,0.551598281038
428,San Rafael City High,2133262,San Rafael High,203,87.4137931034,0.813085106383
429,Vista Unified,3730728,Rancho Buena Vista High,653,81.4364471669,0.519880774963
430,Huntington Beach Union High,3034410,Marina High,1049,69.8779790276,0.512997181334
431,Fremont Unified,134452,Kennedy (John F.) High,246,57.4756097561,0.720711111111
432,Riverdale Joint Unified,1035575,Riverdale High,51,47.0196078431,0.153374233129
433,Oroville Union High,437566,Prospect High (Continuation),36,8.30555555556,0.394465367611
434,San Diego Unified,3730751,Mt. Everest Academy,52,84.4423076923,0.598737936154
435,Eureka City Schools,1232206,Eureka Senior High,463,62.7300215983,0.640475500145
436,San Dieguito Union High,3730769,North Coast Alter. High,20,70.0,0.633263943723
437,Garden Grove Unified,3035706,Rancho Alamitos High,185,56.5891891892,0.634712923514
438,Fall River Joint Unified,4533600,Fall River Junior-Senior High,71,64.676056338,0.296296296296
439,Vista Unified,3730785,Palomar High Independent Stud,14,57.0,0.519880774963
440,Paramount Unified,1936749,Paramount High,53,44.0,0.850047192072
441,Sweetwater Union High,3730801,Castle Park Senior High,40,62.4,0.756660746004
442,Chino Valley Unified,3632502,Chino High,303,53.4158415842,0.556755844375
443,Grossmont Union High,3739000,Phoenix High,75,27.92,0.515742630575
444,Poway Unified,3730819,Rancho Bernardo High,893,72.0055991041,0.542647626399
445,Livermore Valley Joint Unified,134536,Livermore High,719,75.0236439499,0.429708222812
446,Oceanside Unified,3739018,El Camino High,594,70.6178451178,0.510378020656
447,Oceanside Unified,3739026,Ocean Shores High (Continuati,16,19.0,0.550205407471
448,San Juan Unified,3435930,Mira Loma High,509,69.1768172888,0.613770210943
449,Sweetwater Union High,3730843,Eastlake High,343,83.3935860058,0.65339010809
450,Kern Union High,1535392,South High,85,50.5647058824,0.610088215336
451,Westwood Unified,1838507,Westwood High,14,46.0,0.242063492063
452,San Jacinto Unified,3337649,"Mountain View High, Cont.",14,21.0,0.420846987648
453,Pasadena Unified,1936822,Pasadena High,250,68.516,0.699010914052
454,San Jacinto Unified,3337656,San Jacinto High,260,52.3153846154,0.533046674527
