,District,School Code,School Name,number,score,vote
183,Fresno Unified,1032911,Herbert Hoover High,126,4.75396825397,0.563651137595
184,Los Angeles Unified,1934033,Hollywood Senior High,109,10.0917431193,0.874028609612
185,Oakland Unified,137943,Skyline High,308,2.36038961039,0.815282964665
186,Oakland Unified,6114011,"Independent Study, Sojourner",26,0.0,0.874279763971
187,Oakland Unified,135905,Oakland High,295,3.13898305085,0.920011923688
188,Pasadena Unified,1936103,John Muir High,184,6.98913043478,0.683710737765
189,Moreno Valley Unified,3330800,Bayside Community Day,12,0.0,0.599598618501
190,Chaffey Joint Union High,3633906,Montclair High,22,32.0,0.685388526218
191,Stockton Unified,3937406,Stagg Senior High,118,6.03389830508,0.625703335236
192,Victor Valley Union High,3638012,Victor Valley High,447,12.6577181208,0.4636347359
193,San Diego Unified,3730173,Serra High,139,12.1294964029,0.582085269983
194,Palm Springs Unified,3330818,Desert Hot Springs High,45,6.46666666667,0.555131392045
195,San Diego Unified,3730181,Mira Mesa High,77,15.6363636364,0.603344308387
196,Long Beach Unified,1995539,Calif Acad Math and Science,79,74.7215189873,0.642062960482
197,Liberty Union High,733980,Liberty High,27,10.7777777778,0.595749440716
198,Los Angeles Unified,1936160,Nathaniel Narbonne Senior Hig,357,15.4145658263,0.68566883203
199,Riverside Unified,3330859,Martin Luther King Jr. High,213,21.6291079812,0.508310784693
200,Twin Rivers Unified,3433265,Foothill High,100,3.09,0.551084990958
201,Los Alamitos Unified,3033917,Los Alamitos High,33,51.6666666667,0.515228426396
202,Palos Verdes Peninsula Unified,1995588,Palos Verdes Penins. High,30,50.2,0.576401356473
203,Fontana Unified,3630902,Kaiser (Henry J.) High,84,15.6904761905,0.749244560838
204,ABC Unified,1930056,Cerritos High,43,25.6744186047,0.668367829128
205,Campbell Union High,4338505,Westmont High,14,7.0,0.759155631891
206,Monterey Peninsula Unified,111435,Marina High,17,18.0,0.751621643813
207,Central Unified,1030626,Central High East Campus,225,9.84,0.586681844052
208,Los Angeles Unified,1932128,Crenshaw Senior High,570,2.5649122807,0.860792540793
209,Sierra Sands Unified,1531367,Burroughs High,26,27.0,0.325952085521
210,Grossmont Union High,3732336,Granite Hills High,12,25.0,0.400525054218
211,San Bernardino City Unified,3636081,San Gorgonio High,212,8.28773584906,0.626600253419
212,Oakland Unified,136051,Oakland Technical High,427,8.94613583138,0.878450674085
213,Manteca Unified,3935103,Manteca High,15,7.0,0.498116875228
214,Milpitas Unified,4334470,Milpitas High,27,7.22222222222,0.763473520249
215,Los Angeles Unified,109447,Santee Education Complex,58,0.0,0.919796419796
216,Vacaville Unified,4830089,Wood (Will C.) High,57,15.6842105263,0.555544019934
217,San Diego Unified,3730314,University City High,41,14.7804878049,0.544265673298
218,San Francisco Unified,3834769,O'Connell (John) Alternative,28,3.71428571429,0.942610144777
219,Clovis Unified,113555,Clovis North High,14,36.0,0.399307958478
220,Torrance Unified,1936277,North High,90,23.2222222222,0.705769599387
221,Inglewood Unified,1934231,Inglewood High,404,3.08415841584,0.897945746642
222,Oakland Unified,107417,Leadership Prep High,27,0.0,0.874279763971
