A:group1,B:group2,C:test,D:corr,E:counts,F:mean,G:std,H:corr_w_1
asian_econ_dis,female,math,-0.022,105,-19.629,15.123,-0.362
asian_econ_dis,hispanic,math,0.026,105,-29.218,13.434,-0.362
asian_econ_dis,hispanic_econ_dis,math,0.106,103,-30.780,13.585,-0.367
asian_econ_dis,hispanic_econ_ok,math,0.005,91,-23.709,14.661,-0.259
asian_econ_dis,male,math,-0.030,105,-21.218,15.273,-0.362
asian_econ_dis,white,math,0.284,77,-8.745,17.516,-0.179
asian_econ_dis,white_econ_dis,math,0.371,60,-13.438,17.871,-0.170
asian_econ_dis,white_econ_ok,math,0.365,68,-1.432,18.914,-0.177
asian_econ_ok,afam,math,-0.199,76,-34.295,15.108,-0.250
asian_econ_ok,afam_econ_dis,math,-0.190,44,-41.768,15.514,-0.354
asian_econ_ok,afam_econ_ok,math,-0.085,58,-26.963,14.836,-0.322
asian_econ_ok,all,math,-0.039,97,-26.469,12.593,-0.332
asian_econ_ok,asian,math,-0.280,97,-5.762,6.509,-0.332
asian_econ_ok,asian_econ_dis,math,-0.132,68,-10.178,10.171,-0.380
asian_econ_ok,asian_econ_ok,math,nan,97,0.000,0.000,-0.332
asian_econ_ok,econ_dis,math,0.247,95,-34.037,13.286,-0.320
asian_econ_ok,econ_ok,math,0.058,97,-20.365,10.666,-0.332
asian_econ_ok,female,math,-0.044,97,-25.543,12.616,-0.332
asian_econ_ok,hispanic,math,-0.110,97,-37.461,11.305,-0.332
asian_econ_ok,hispanic_econ_dis,math,0.079,89,-41.223,11.618,-0.341
asian_econ_ok,hispanic_econ_ok,math,0.028,93,-31.095,11.290,-0.320
asian_econ_ok,male,math,-0.029,97,-27.268,12.866,-0.332
asian_econ_ok,white,math,0.322,91,-19.547,11.963,-0.203
asian_econ_ok,white_econ_dis,math,0.444,70,-25.660,14.182,-0.152
asian_econ_ok,white_econ_ok,math,0.521,85,-14.284,12.197,-0.213
