,District,District Code,School Code,School Name,number,score,vote
92,Glendora Unified,64576,1933597,Glendora High,166,86.7951807229,0.519502353732
93,Alhambra Unified,75713,1937697,San Gabriel High,1993,70.3567486202,0.733281579239
94,East Side Union High,69427,4335907,Piedmont Hills High,1704,70.7218309859,0.675513501039
95,Modesto City High,71175,121129,Gregori High,88,48.8977272727,0.624695161083
96,Riverside Unified,67215,3336492,Ramona High,15,53.0,0.554218787348
97,Novato Unified,65417,2132272,Novato High,57,82.7719298246,0.740899191039
98,El Monte Union High,64519,1932680,Mountain View High,118,66.8305084746,0.779574617683
99,Woodland Joint Unified,72710,5738802,Woodland Senior High,12,33.0,0.655936454849
100,Fullerton Joint Union High,66514,3037496,Troy High,1569,94.8483110261,0.591143294806
101,Los Angeles Unified,64733,117051,Edward R. Roybal Learning Cen,39,33.2820512821,0.868001251173
102,South San Francisco Unified,69070,4137279,South San Francisco High,215,61.1674418605,0.823785517874
103,Temecula Valley Unified,75192,3330370,Temecula Valley High,80,71.425,0.408742194469
104,Turlock Unified,75739,5030283,Pitman (John H.) High,172,65.6860465116,0.434776749618
105,Arcadia Unified,64261,1930288,Arcadia High,3426,82.7419731465,0.641412361689
106,Bonita Unified,64329,1937739,San Dimas High,38,68.8421052632,0.532519190509
107,Los Angeles Unified,64733,117069,Helen Bernstein High,11,18.0,0.869295923769
108,Upland Unified,75069,3637584,Upland High,266,69.2593984962,0.610185756392
109,Desert Sands Unified,67058,3330388,Palm Desert High,80,73.775,0.505620848237
110,Long Beach Unified,64725,1935758,Millikan High,165,66.7090909091,0.575231756596
111,Moreno Valley Unified,67124,3330396,Canyon Springs High,47,61.7021276596,0.601864262215
112,Clovis Unified,62117,1030501,Buchanan High,375,69.2346666667,0.398396767466
113,Davis Joint Unified,72678,6060396,Holmes (Oliver Wendell),85,83.6823529412,0.521778584392
114,Albany City Unified,61127,130450,Albany High,567,74.9188712522,0.893089005236
115,El Dorado Union High,61853,936302,Ponderosa High,12,50.0,0.378048780488
116,Tustin Unified,73643,3037553,Tustin High,171,74.6608187135,0.624855443582
117,Simi Valley Unified,72603,5630322,Santa Susana High,151,81.417218543,0.510060259422
118,San Leandro Unified,61291,137588,San Leandro High,634,51.5788643533,0.737482842991
119,Madera Unified,65243,110965,Madera South High,11,64.0,0.589822329458
120,Hacienda la Puente Unified,73445,1939834,Glen A. Wilson High,877,77.3842645382,0.629021981523
121,Morgan Hill Unified,69583,4333951,Live Oak High,45,77.7777777778,0.62508259548
122,Selma Unified,62430,1036672,Selma High,70,77.2,0.409964736662
123,Moreno Valley Unified,67124,3330438,Valley View High,54,73.8888888889,0.546990496304
124,Caruthers Unified,75598,1030535,Caruthers High,13,62.0,0.386666666667
125,Sacramento City Unified,67439,108951,Arthur A. Benjamin Health Pro,11,36.0,0.813576409309
126,Ventura Unified,72652,5630348,Foothill Technology High,93,84.9462365591,0.640656361139
127,Corona-Norco Unified,67033,3330446,Centennial High,391,80.199488491,0.432162875041
128,Charter Oak Unified,64378,1931666,Charter Oak High,59,62.6610169492,0.544794738036
129,Los Angeles Unified,64733,1939859,Woodrow Wilson Senior High,62,63.0806451613,0.750386750387
130,Kern Union High,63529,110999,Frontier High,44,79.9772727273,0.413674372848
131,Petaluma Joint Union High,70862,4930012,Casa Grande High,108,84.25,0.76189277624
132,Long Beach Unified,64725,1939875,Wilson High,489,46.4805725971,0.742538438348
133,Vacaville Unified,70573,4837803,Vacaville High,54,61.0185185185,0.570959803117
134,Washington Unified,72694,5735154,River City Senior High,317,43.8958990536,0.782843431314
135,Los Angeles Unified,64733,1937838,San Pedro Senior High,28,60.7142857143,0.721876046901
136,Beaumont Unified,66993,3330479,Beaumont Senior High,94,56.3723404255,0.465511092089
137,Twin Rivers Unified,76505,3436979,Rio Linda High,282,35.3439716312,0.671213208902
138,Oxnard Union High,72546,5630389,Pacifica,82,72.0365853659,0.647087467283
139,Lake Elsinore Unified,75176,3330487,Temescal Canyon High,69,66.8115942029,0.453914327917
140,Fresno Unified,62166,1030584,Cambridge Cont. High,29,0.0,0.568887253098
141,Los Angeles Unified,64733,1931708,Chatsworth Senior High,389,55.9254498715,0.545961333175
142,Garden Grove Unified,66522,3035581,Pacifica High,491,76.7474541752,0.475728758779
143,Manhattan Beach Unified,75333,1935808,Mira Costa High,335,88.3791044776,0.682744775044
144,Marysville Joint Unified,72736,5835202,Marysville High,39,35.8461538462,0.226726726727
145,Sacramento City Unified,67439,3430865,West Campus,343,77.4810495627,0.797459584296
146,Hacienda la Puente Unified,73445,1939925,Workman (William) High,14,64.0,0.765904748425
147,Tustin Unified,73643,102871,Arnold O. Beckman High,1191,85.6876574307,0.624855443582
148,Elk Grove Unified,67314,3430873,Franklin High,1122,69.4251336898,0.635654169855
149,West Contra Costa Unified,61796,733659,Kennedy High,16,31.0,0.886746643816
150,Salinas Union High,66159,2734556,Salinas High,108,74.9907407407,0.752533507682
151,San Ramon Valley Unified,61804,113118,Dougherty Valley High,1796,91.2171492205,0.711773832098
152,Murrieta Valley Unified,75200,3330529,Murrieta Valley High,79,83.4810126582,0.551023137622
153,Antioch Unified,61648,117218,Dozier-Libbey Medical High,54,71.962962963,0.720506845325
154,Los Angeles Unified,64733,1933795,Ulysses S. Grant Senior High,13,46.0,0.743107540624
155,Los Angeles Unified,64733,1939941,John F. Kennedy High,48,52.3333333333,0.607977991747
156,Kern Union High,63529,1530344,Stockdale High,373,86.3485254692,0.815833333333
157,Garden Grove Unified,66522,3033578,La Quinta High,2428,74.3657331137,0.601399900892
158,San Francisco Unified,68478,3830254,Burton (Phillip and Sala) Aca,431,47.1113689095,0.852908045296
159,Whittier Union High,65128,1937903,Santa Fe High,15,87.0,0.783517010062
160,Oxnard Union High,72546,5634548,Oxnard High,43,76.9069767442,0.647087467283
161,Val Verde Unified,75242,3330552,Rancho Verde High,60,71.45,0.553964887475
162,Los Angeles Unified,64733,1935865,James Monroe High,70,44.2,0.706802053886
163,Los Angeles Unified,64733,107003,Northridge Academy High,11,91.0,0.746801978509
164,Mt. Diablo Unified,61754,731646,College Park High,205,71.112195122,0.706974540128
165,Kern Union High,63529,1530369,Centennial High,11,82.0,0.298972449739
166,Las Virgenes Unified,64683,1931781,Calabasas High,148,77.7905405405,0.64766536965
