,District,School Code,School Name,number,score,vote
170,Vallejo City Unified,4838058,"Peoples High, Cont.",32,0.0,0.70541958042
171,Inglewood Unified,1936046,Morningside High,367,13.659400545,0.838403294368
172,San Diego Unified,107185,Crawford CHAMPS,127,27.5905511811,0.727572685539
173,Los Angeles Unified,1931955,"Ellington (Duke) High, Cont.",11,0.0,0.73945599022
174,Temecula Valley Unified,3330743,Chaparral High,11,45.0,0.423866370972
175,San Diego Unified,107193,Crawford Law and Business,52,23.0961538462,0.727572685539
176,Compton Unified,1931963,Compton High,397,7.99496221662,0.898423817863
177,Mt. Diablo Unified,731836,Concord High,12,25.0,0.66013560674
178,Kern Union High,1532605,Foothill High,43,32.3720930233,0.288645690834
179,San Diego Unified,107201,Crawford IDEA,50,19.7,0.727572685539
180,Oakland Unified,101063,College Prep. and Architecture,11,10.0,0.92997246108
181,Oxnard Union High,5634761,Rio Mesa High,12,50.0,0.733040003592
182,Fresno Unified,1032911,Herbert Hoover High,231,13.5497835498,0.574914546145
183,Los Angeles Unified,1934033,Hollywood Senior High,171,37.2339181287,0.869295923769
184,San Diego Unified,107219,San Diego Science and Technol,45,53.5333333333,0.703490464196
185,Oakland Unified,137943,Skyline High,387,19.2713178295,0.773475898939
186,Oakland Unified,6114011,"Independent Study, Sojourner",45,4.6,0.879256384577
187,Los Angeles Unified,1995489,Los Angeles Unified Alternativ,19,11.0,0.81433061866
188,Sacramento County Office of Education,106278,El Centro Jr./Sr. High,12,0.0,0.642857142857
189,Pasadena Unified,1936103,John Muir High,290,15.8793103448,0.669747025528
190,Moreno Valley Unified,3330800,Bayside Community Day,11,9.0,0.600726019361
191,Chaffey Joint Union High,3633906,Montclair High,48,35.375,0.684804437219
192,Stockton Unified,3937406,Stagg Senior High,190,18.9105263158,0.594881537774
193,Victor Valley Union High,3638012,Victor Valley High,684,19.9283625731,0.447736654306
194,San Diego Unified,3730173,Serra High,140,26.4357142857,0.582085269983
195,Palm Springs Unified,3330818,Desert Hot Springs High,99,22.7272727273,0.528595296234
196,San Diego Unified,3730181,Mira Mesa High,95,47.4842105263,0.620477794411
197,Monterey Peninsula Unified,2732808,Monterey High,11,45.0,0.678728493172
198,Bellflower Unified,1938190,Somerset Continuation High,12,8.0,0.728351881293
199,Long Beach Unified,1995539,Calif Acad Math and Science,82,87.6341463415,0.641695637546
200,Liberty Union High,733980,Liberty High,12,50.0,0.571727092258
201,Los Angeles Unified,1936160,Nathaniel Narbonne Senior Hig,466,30.2918454936,0.690962980886
202,Riverside Unified,3330859,Martin Luther King Jr. High,144,42.4861111111,0.529643427355
203,Liberty Union High,733998,La Paloma High (Continuation),13,0.0,0.571727092258
204,Twin Rivers Unified,3433265,Foothill High,152,18.3157894737,0.542284984841
205,Long Beach Unified,1995570,Educational Partnership High,29,3.0,0.727155394941
206,Kern Union High,1534775,North High,11,18.0,0.184210526316
207,Lodi Unified,3930278,Plaza Robles Continuation High,13,8.0,0.613983375582
208,Fontana Unified,3630902,Kaiser (Henry J.) High,114,29.7894736842,0.782992589478
209,ABC Unified,1930056,Cerritos High,13,85.0,0.669346150659
210,Ventura Unified,5630793,Buena High,12,33.0,0.640656361139
211,Monterey Peninsula Unified,111435,Marina High,27,33.5185185185,0.751621643813
212,Oakland Unified,100834,Media College Preparatory,87,5.98850574713,0.88386797378
213,Los Angeles Unified,1932128,Crenshaw Senior High,1051,9.47573739296,0.878698742865
214,East Side Union High,4335907,Piedmont Hills High,13,23.0,0.675513501039
215,Sierra Sands Unified,1531367,Burroughs High,27,29.1851851852,0.31420233463
216,San Bernardino City Unified,3636081,San Gorgonio High,432,22.3958333333,0.563017261764
217,Los Angeles Unified,1930387,Central High,27,3.88888888889,0.846559206448
218,San Juan Unified,3435930,Mira Loma High,76,21.2236842105,0.613677778969
219,Manteca Unified,3935103,Manteca High,18,12.0,0.507855822551
220,Milpitas Unified,4334470,Milpitas High,12,8.0,0.761451562984
221,Los Angeles Unified,109447,Santee Education Complex,134,6.92537313433,0.922107850668
222,Vacaville Unified,4830089,Wood (Will C.) High,82,21.9756097561,0.533185589272
223,San Diego Unified,3730314,University City High,56,41.1071428571,0.535812574977
224,Clovis Unified,1031053,Clovis High,14,71.0,0.398396767466
225,Moreno Valley Unified,3330958,March Valley,12,0.0,0.600726019361
226,San Francisco Unified,3834769,O'Connell (John) Alternative,14,7.0,0.927743252017
227,Torrance Unified,1936277,North High,78,39.8461538462,0.695008146941
228,Inglewood Unified,1934231,Inglewood High,572,11.798951049,0.841366589141
229,Oakland Unified,107417,Leadership Prep High,70,7.2,0.879256384577
230,Sacramento City Unified,3435419,McClatchy (C. K.) High,139,25.9208633094,0.813576409309
231,San Diego Unified,3734431,Mission Bay High,149,17.0134228188,0.655699070927
232,Culver City Unified,1932201,Culver City High,216,41.5648148148,0.783232413541
233,Compton Unified,1995695,"Chavez (Cesar) High, Cont.",18,0.0,0.843711153803
234,Jurupa Unified,3337136,Rubidoux High,22,31.5,0.588575560376
235,San Diego Unified,3730371,San Diego SCPA,73,46.4794520548,0.639748894279
236,Covina-Valley Unified,1938372,South Hills High,11,45.0,0.70250079139
237,Los Angeles Unified,101329,William J. Johnston Community,23,4.17391304348,0.721876046901
238,Shasta Union High,4537304,Shasta High,14,36.0,0.35168792198
239,Palm Springs Unified,3335130,Palm Springs High,107,24.3551401869,0.614053395947
240,Los Angeles Unified,1936350,North Hollywood Senior High,102,42.0490196078,0.806232062321
241,Lynwood Unified,109538,Marco Antonio Firebaugh High,84,11.7619047619,0.818173573955
242,Los Angeles Unified,107003,Northridge Academy High,26,42.4615384615,0.746801978509
243,Anaheim Union High,3033784,Loara High,11,36.0,0.639949943388
244,Southern Kern Unified,1534957,Rosamond High,35,28.6,0.479087452471
245,Antioch Unified,730101,Live Oak High (Continuation),12,0.0,0.671317619435
246,Kern Union High,1530708,Bakersfield High,322,24.0962732919,0.42465976693
247,Moreno Valley Unified,3331071,Vista del Lago High,439,23.6332574032,0.553964887475
248,West Contra Costa Unified,732164,De Anza Senior High,104,28.1057692308,0.8259762309
249,Newark Unified,130054,Newark Memorial High,51,17.6078431373,0.786626940927
250,Fremont Unified,130062,American High,67,24.1343283582,0.759161490683
251,Los Angeles County Office of Education,121871,Los Padrinos Juvenile,81,1.37037037037,0.755491167399
252,Los Angeles Unified,1995794,Youth Opportunities Unlim,44,8.90909090909,0.908750514846
253,Victor Valley Union High,3630100,Goodwill High,75,1.32,0.499383401159
254,Anaheim Union High,3030038,Cypress High,55,74.5090909091,0.555395524042
