,District,School Code,School Name,number,score,vote
0,Alameda City Unified,1,District Students in NPS,399,21.0676691729,0.643058547424
1,San Diego Unified,3733508,La Jolla High,1153,70.2653946227,0.643146674673
2,Modesto City High,110593,James C. Enochs High,1062,57.9369114878,0.503361941726
3,Winters Joint Unified,5738505,Winters High,177,57.186440678,0.646812957158
4,Apple Valley Unified,3630423,Apple Valley High,780,48.8051282051,0.412444444444
5,Simi Valley Unified,5630249,Monte Vista,58,44.9310344828,0.502965372106
6,Ferndale Unified,1232909,Ferndale High,75,49.4,0.414024975985
7,Southern Humboldt Joint Unified,1237007,South Fork Junior - Senior Hi,69,46.3188405797,0.682593856655
8,Hemet Unified,3330065,Alessandro High,33,2.87878787879,0.467771639042
9,Redlands Unified,118802,Citrus Valley High,797,52.3764115433,0.455927591103
10,Dixon Unified,4832259,Dixon High,624,55.7900641026,0.670484122853
11,Burbank Unified,1933332,"Monterey High, Cont.",25,28.0,0.808108640031
12,Fillmore Unified,5632021,Fillmore Senior High,69,71.1449275362,0.614634146341
13,Coronado Unified,3731478,Coronado High,1155,65.8043290043,0.631088082902
14,Liberty Union High,730457,Freedom High,1145,52.527510917,0.567729804007
15,Bret Harte Union High,532507,Bret Harte Union High,520,52.7942307692,0.348512011474
16,Rialto Unified,102830,Wilmer Amina Carter High,166,54.2469879518,0.666440562998
17,San Marcos Unified,3737632,San Marcos High,1269,76.2324665091,0.556289356474
18,Apple Valley Unified,3631009,High Desert Premier Academy,29,3.31034482759,0.412444444444
19,Corona-Norco Unified,110627,Eleanor Roosevelt High,785,47.7707006369,0.469943247562
20,San Jose Unified,4330502,Liberty High (Alternative,12,0.0,0.723253757737
21,Whittier Union High,1931302,California High,265,54.8037735849,0.678964637258
22,Riverside Unified,3336237,Polytechnic High,1104,51.7300724638,0.55196454629
23,North Monterey County Unified,2730034,North Monterey County High,131,52.1374045802,0.724327897752
24,Clovis Unified,1030196,Clovis West High,1207,71.5302402651,0.410257742673
25,Chaffey Joint Union High,3631157,Colony High,227,51.9823788546,0.584564584732
26,William S. Hart Union High,102459,Golden Valley High,655,52.2900763359,0.493247068338
27,Murrieta Valley Unified,118794,Murrieta Mesa High,1204,57.6320598007,0.551023137622
28,Rim of the World Unified,3635265,Rim of the World Senior High,776,49.2770618557,0.416916018352
29,Murrieta Valley Unified,100420,Vista Murrieta High,1443,58.7567567568,0.408031308491
30,Davis Joint Unified,6066245,Emerson (Ralph Waldo) Jr. High,172,85.6802325581,0.521778584392
31,Palo Alto Unified,4335782,Palo Alto High,1387,84.2126892574,0.900408841191
32,Vista Unified,3730785,Palomar High Independent Stud,11,55.0,0.523737297133
33,Poway Unified,3731528,Westview High,1569,62.8228170809,0.590174713507
34,Tulare Joint Union High,5435466,Tulare Western High,254,56.4842519685,0.509095204347
35,William S. Hart Union High,102475,West Ranch High,2013,61.5494287134,0.56037496028
36,Fremont Unified,135244,Mission San Jose High,265,75.8490566038,0.766219839142
37,Grossmont Union High,3731536,Grossmont Middle College,36,63.9166666667,0.515335113302
38,West Covina Unified,1939537,West Covina High,85,71.6,0.722227984649
39,Muroc Joint Unified,1531987,Desert Junior-Senior High,272,47.0919117647,0.289198606272
40,West Contra Costa Unified,735316,Pinole Valley High,245,30.9183673469,0.820333432569
41,Los Angeles County Office of Education,1933399,L.A. Co. High School/Arts,453,55.2715231788,0.750386750387
42,Corona-Norco Unified,3334232,Norco High,1216,51.3569078947,0.521374277896
43,Los Banos Unified,120923,Pacheco High,115,55.8086956522,0.609182058047
44,Simi Valley Unified,5636188,Simi Valley High,1732,50.8169745958,0.510060259422
45,Clovis Unified,1030501,Buchanan High,1693,66.3538098051,0.398396767466
46,Hanford Joint Union High,1634401,Hanford High,542,41.9501845018,0.41235459286
47,Los Gatos-Saratoga Joint Union High,4337762,Saratoga High,640,69.8921875,0.764052462527
48,Simi Valley Unified,5635008,Royal High,1531,49.7439581973,0.502965372106
49,Desert Sands Unified,118885,Shadow Hills High,109,66.9174311927,0.680439104503
50,Berkeley Unified,131177,Berkeley High,1292,65.9713622291,0.95595970901
51,San Benito High,3537008,San Benito High,1119,49.509383378,0.630313644324
52,Laguna Beach Unified,3033206,Laguna Beach High,1104,73.5634057971,0.55997588909
53,Sacramento City Unified,3430519,Capital City,23,26.2173913043,0.810262114997
54,Modesto City High,5030010,Beyer (Fred C.) High,813,52.0393603936,0.503361941726
55,Murrieta Valley Unified,102079,Tenaja Canyon Academy,16,63.0,0.408031308491
56,Elk Grove Unified,3432572,Elk Grove High,1037,55.9951783992,0.53358802929
57,Lodi Unified,3930237,Bear Creek High,310,59.4258064516,0.613983375582
58,Santa Paula Union High,5635776,Santa Paula High,26,58.0,0.691237192231
59,Shasta Union High,4530309,North State Independence High,21,24.0,0.35168792198
60,Visalia Unified,5435839,Sequoia High,14,15.0,0.573157315732
61,Hanford Joint Union High,118919,Sierra Pacific High,277,57.0613718412,0.41235459286
62,South Monterey County Joint Union High,2732170,King City High,76,81.5789473684,0.708883025506
63,Los Angeles Unified,1939479,WESM Health/Sports Medicine,43,76.7674418605,0.76065511572
64,North Monterey County Unified,2730125,North Monterey County Ctr,15,47.0,0.638313875535
65,Fortuna Union High,108688,Academy of the Redwoods,145,69.5862068966,0.516473887136
66,Torrance Unified,1939602,West High,801,62.6229712859,0.643809331448
67,Victor Valley Union High,3630787,Silverado High,175,43.2742857143,0.562874603361
68,Escalon Unified,3932308,Escalon High,554,44.4368231047,0.38561479177
69,Hayward Unified,135319,Mt. Eden High,53,67.0943396226,0.805712270804
