,District,District Code,School Code,School Name,number,score,vote
202,Chaffey Joint Union High,67652,3630373,Etiwanda High,468,48.3076923077,0.52787952788
203,Manteca Unified,68593,3935111,"Calla High, Cont.",45,2.0,0.507855822551
204,East Side Union High,69427,4334900,Mt. Pleasant High,646,34.1284829721,0.790654620853
205,Mt. Diablo Unified,61754,730424,Summit High (Continuation),12,0.0,0.66013560674
206,Colton Joint Unified,67686,3630399,Washington High,66,9.0303030303,0.621570090359
207,Twin Rivers Unified,76505,3433794,Grant Union High,475,34.2778947368,0.606024488027
208,San Diego County Office of Education,10371,116038,North Region Court,15,13.0,0.485431302545
209,Hesperia Unified,75044,3630407,Hesperia High,811,37.869297164,0.346627880273
210,Long Beach Unified,64725,1934678,Lakewood High,796,44.7638190955,0.627080240644
211,Apple Valley Unified,75077,3630423,Apple Valley High,374,42.6016042781,0.412444444444
212,Morongo Unified,67777,3638616,Yucca Valley High,195,41.6974358974,0.330801687764
213,Liberty Union High,61721,730457,Freedom High,273,42.4175824176,0.567729804007
214,San Bernardino County Office of Educatio,10363,3630431,Detention and Assessment,43,2.60465116279,0.621570090359
215,Antioch Unified,61648,730465,Deer Valley High,260,44.5230769231,0.720506845325
216,Upland Unified,75069,3630456,Hillside High,45,18.0,0.610185756392
217,Norwalk-La Mirada Unified,64840,1934728,La Mirada High,490,51.2551020408,0.651520069242
218,Lake Elsinore Unified,75176,107920,Lakeside High,660,42.6363636364,0.418744769874
219,Kern Union High,63529,1533330,Highland High,649,37.1725731895,0.288645690834
220,San Mateo Union High,69047,4130217,Aragon High,107,43.8878504673,0.772713878794
221,Martinez Unified,61739,730549,Alhambra Senior High,82,50.0,0.73651024615
222,Fullerton Joint Union High,66514,3032505,Fullerton Un. High,633,42.2464454976,0.607724006762
223,Chino Valley Unified,67678,3630522,Ruben S. Ayala High,125,61.352,0.56642519685
224,Rialto Unified,67850,3630530,Zupanic High,17,18.0,0.797048080953
225,Los Angeles Unified,64733,124362,Valley Academy of Arts and Sc,388,39.956185567,0.607977991747
226,Liberty Union High,61721,730572,Independence High,11,9.0,0.571727092258
227,Hacienda la Puente Unified,73445,1934801,La Puente High,897,42.7959866221,0.765904748425
228,Los Angeles Unified,64733,124370,"Arts, Theatre, Entertainment",240,34.6916666667,0.823900205693
229,Colton Joint Unified,67686,3636131,"Slover Mountain High, Cont.",73,8.78082191781,0.621570090359
230,Modesto City High,71175,5031380,Davis (Grace M.) High,363,34.9338842975,0.557129407737
231,Fontana Unified,67710,3630555,Fontana Miller (A. B.) High,1362,45.9911894273,0.598276322822
232,Kingsburg Joint Union High,62257,1033695,Kingsburg High,206,43.1067961165,0.350026357406
233,Lucerne Valley Unified,75051,3630563,Lucerne Valley High,49,30.7755102041,0.290057518488
234,Los Angeles Unified,64733,124388,Social Justice Humanitas,294,46.8469387755,0.823900205693
235,West Contra Costa Unified,61796,730598,Hercules High,69,30.5797101449,0.796276929513
236,Kings Canyon Joint Unified,62265,1033703,Kings Canyon Continuation,51,6.27450980392,0.528384279476
237,Chaffey Joint Union High,67652,3630571,Rancho Cucamonga High,437,58.1006864989,0.475426024151
238,Los Angeles Unified,64733,124396,Academy of Scientific Explora,214,36.1728971963,0.823900205693
239,Los Angeles Unified,64733,124404,Teacher Preparation Acad #5F,235,16.2638297872,0.823900205693
240,Los Angeles Unified,64733,124412,Los Angeles River,203,32.0492610837,0.843943498452
241,Los Angeles Unified,64733,124420,Schl - History & Dramatic Arts,173,47.4393063584,0.843943498452
242,Rialto Unified,67850,3630597,Rialto High,1556,39.7879177378,0.797048080953
243,Coast Unified,75465,4032009,Coast Union High,72,49.7916666667,0.607917958502
244,Whittier Union High,65128,1934868,La Serna High,529,49.1644612476,0.593833692599
245,Los Angeles Unified,64733,124438,ARTLAB @ Sotomayor,170,30.4176470588,0.843943498452
246,Ceres Unified,71043,108076,Central Valley High,804,44.2910447761,0.549878345499
247,Los Angeles Unified,64733,124461,Social Justice: Global Issues,326,20.6411042945,0.922107850668
248,Rocklin Unified,75085,108084,Whitney High,50,41.66,0.451236019092
249,Kings Canyon Joint Unified,62265,108092,Orange Cove High,395,42.5949367089,1.0
250,Los Angeles Unified,64733,124479,Social Justice: Fine and Perf,339,20.3008849558,0.922107850668
251,Los Angeles Unified,64733,124487,Public Svs South Region HS#2,250,17.584,0.924713206895
252,Centinela Valley Union High,64352,1934926,Lawndale High,1159,49.8032786885,0.75959933222
