,District,School Code,School Name,number,score,vote
88,Antioch Unified,117218,Dozier-Libbey Medical High,31,54.5483870968,0.720506845325
89,Kern Union High,1530344,Stockdale High,59,62.6440677966,0.815833333333
90,Stockton Unified,3932654,Franklin High,11,36.0,0.546288209607
91,Oxnard Union High,5634548,Oxnard High,18,56.0,0.647087467283
92,Val Verde Unified,3330552,Rancho Verde High,162,51.3641975309,0.553964887475
93,Los Angeles Unified,1995489,Los Angeles Unified Alternativ,32,25.6875,0.81433061866
94,Mt. Diablo Unified,731646,College Park High,11,45.0,0.706974540128
95,Las Virgenes Unified,1931781,Calabasas High,48,58.0625,0.64766536965
96,San Francisco Unified,3830288,Balboa High,14,7.0,0.857183118439
97,San Lorenzo Unified,137745,Royal Sunset (Continuation),11,0.0,0.819102405629
98,Los Angeles Unified,1937838,San Pedro Senior High,53,47.1509433962,0.721876046901
99,Corona-Norco Unified,3330586,Lee V. Pollard High (Cont.),11,0.0,0.581043375328
100,Los Angeles Unified,1933852,Alexander Hamilton Senior Hig,234,54.6752136752,0.816042024447
101,Acalanes Union High,733725,Las Lomas High,16,63.0,0.74777603349
102,Perris Union High,113191,Heritage High,48,60.2916666667,0.502294893861
103,Claremont Unified,1931823,Claremont High,67,55.1343283582,0.593502314996
104,Monrovia Unified,1935923,Monrovia High,51,53.1176470588,0.687778528022
105,Val Verde Unified,109108,Citrus Hill High,50,34.22,0.599527085125
106,William S. Hart Union High,1933902,Hart (William S.) Senior High,12,67.0,0.493247068338
107,Santa Monica-Malibu Unified,1938000,Santa Monica High,91,48.2417582418,0.83513562224
108,San Lorenzo Unified,137810,San Lorenzo High,95,30.3157894737,0.789598540146
109,Los Angeles Unified,1931864,Grover Cleveland High,49,73.1428571429,0.695140327745
110,Kern Union High,1536606,West High,11,27.0,0.40262955988
111,San Jose Unified,4330080,Gunderson High,11,45.0,0.726104035234
112,Kern Union High,1530476,Liberty High,15,67.0,0.298972449739
113,Desert Sands Unified,3330669,La Quinta High,24,87.75,0.441717002956
114,Centinela Valley Union High,1933951,Hawthorne High,50,24.02,0.874346343312
115,Antelope Valley Union High,1995398,Highland High,286,49.1853146853,0.419696176008
116,Santa Clara Unified,4330122,Santa Clara High,14,64.0,0.761659933896
117,Corona-Norco Unified,3330701,Santiago High,140,65.6,0.432162875041
118,Antelope Valley Union High,1995406,Littlerock High,54,31.462962963,0.492362982929
119,Grossmont Union High,3730066,Valhalla High,44,40.7727272727,0.44045616003
120,Poway Unified,3730074,Mt. Carmel High,44,59.2954545455,0.590174713507
121,Los Angeles Unified,1938885,University Senior High,71,54.7746478873,0.816501215559
122,Fairfield-Suisun Unified,4836003,Sem Yeto Continuation High,28,7.0,0.649664153932
123,Perris Union High,3330727,Paloma Valley High,48,48.125,0.445681281176
124,Inglewood Unified,1936046,Morningside High,28,29.3214285714,0.838403294368
125,Temecula Valley Unified,3330743,Chaparral High,77,61.1298701299,0.423866370972
126,Compton Unified,1931963,Compton High,50,8.28,0.898423817863
127,Santa Rosa High,4930244,Carrillo (Maria) High,11,64.0,0.760627802691
128,Oxnard Union High,5634761,Rio Mesa High,14,57.0,0.733040003592
129,Oakland Unified,137943,Skyline High,137,41.1678832117,0.773475898939
130,Oakland Unified,6114011,"Independent Study, Sojourner",15,20.0,0.879256384577
131,Oakland Unified,135905,Oakland High,75,17.6133333333,0.925277728796
132,Pasadena Unified,1936103,John Muir High,60,36.5166666667,0.669747025528
133,Washington Unified,5735154,River City Senior High,45,44.4222222222,0.782843431314
134,Stockton Unified,3937406,Stagg Senior High,26,22.8461538462,0.594881537774
135,Victor Valley Union High,3638012,Victor Valley High,103,25.1941747573,0.447736654306
136,San Diego Unified,3730173,Serra High,64,55.09375,0.582085269983
137,Folsom-Cordova Unified,3433216,Folsom High,29,85.9310344828,0.496486605182
138,San Diego Unified,3730181,Mira Mesa High,46,65.5,0.620477794411
139,Long Beach Unified,1995539,Calif Acad Math and Science,29,100.0,0.641695637546
140,Liberty Union High,733980,Liberty High,33,57.1818181818,0.571727092258
141,Los Angeles Unified,1936160,Nathaniel Narbonne Senior Hig,144,43.8333333333,0.690962980886
142,El Segundo Unified,1932763,El Segundo High,14,71.0,0.697785277368
143,Riverside Unified,3330859,Martin Luther King Jr. High,148,59.4594594595,0.529643427355
144,Twin Rivers Unified,3433265,Foothill High,47,36.2127659574,0.542284984841
145,Long Beach Unified,1995570,Educational Partnership High,16,19.0,0.727155394941
146,Los Alamitos Unified,3033917,Los Alamitos High,59,69.5762711864,0.515223440825
147,Roseville Joint Union High,3130176,Woodcreek High,12,75.0,0.516927675612
148,Palos Verdes Peninsula Unified,1995588,Palos Verdes Penins. High,62,75.8387096774,0.558045395403
149,Fontana Unified,3630902,Kaiser (Henry J.) High,42,50.0,0.782992589478
150,ABC Unified,1930056,Cerritos High,68,72.25,0.669346150659
151,Campbell Union High,4338505,Westmont High,34,49.7058823529,0.759295386734
152,Monterey Peninsula Unified,111435,Marina High,12,83.0,0.751621643813
153,Central Unified,1030626,Central High East Campus,93,44.311827957,0.586681844052
154,Kern Union High,1530708,Bakersfield High,66,46.9242424242,0.42465976693
155,Los Angeles Unified,1932128,Crenshaw Senior High,63,16.126984127,0.878698742865
156,Sierra Sands Unified,1531367,Burroughs High,16,50.0,0.31420233463
157,Grossmont Union High,3732336,Granite Hills High,28,46.1428571429,0.44045616003
158,Oakland Unified,136051,Oakland Technical High,150,44.68,0.855087197935
159,Milpitas Unified,4334470,Milpitas High,39,63.7692307692,0.761451562984
160,Vacaville Unified,4830089,Wood (Will C.) High,57,33.2456140351,0.533185589272
161,San Diego Unified,3730314,University City High,13,62.0,0.535812574977
162,Poway Unified,118935,Del Norte High,23,60.652173913,0.480098943108
163,Clovis Unified,113555,Clovis North High,38,73.4210526316,0.405669291339
164,Torrance Unified,1936277,North High,59,52.6440677966,0.695008146941
165,Sacramento City Unified,3435419,McClatchy (C. K.) High,27,29.7777777778,0.813576409309
166,Temecula Valley Unified,105734,Great Oak High,81,60.3950617284,0.408742194469
167,Culver City Unified,1932201,Culver City High,232,55.2198275862,0.783232413541
168,Compton Unified,1995695,"Chavez (Cesar) High, Cont.",16,0.0,0.843711153803
169,Torrance Unified,1938356,South High,22,82.0,0.613316134154
170,San Diego Unified,3730371,San Diego SCPA,11,82.0,0.639748894279
171,Campbell Union High,4331955,Del Mar High,22,45.5,0.769785351466
172,Palm Springs Unified,3335130,Palm Springs High,11,64.0,0.614053395947
173,Los Angeles Unified,1936350,North Hollywood Senior High,13,54.0,0.806232062321
174,Sweetwater Union High,3730405,Bonita Vista Senior High,44,84.1818181818,0.675064800415
175,Roseville Joint Union High,3136504,Roseville High,12,33.0,0.465835086665
