,District,District Code,School Code,School Name,number,score,vote
530,East Side Union High,69427,4330031,Independence High,38,29.5263157895,0.800276490201
531,Elk Grove Unified,67314,3430618,Sheldon High,255,32.1490196078,0.599445599446
532,Azusa Unified,64279,1930528,Azusa High,11,55.0,0.461583577713
533,Chaffey Joint Union High,67652,3630373,Etiwanda High,118,47.2711864407,0.52787952788
534,Gilroy Unified,69484,4332839,Gilroy High,41,70.8048780488,0.697410402909
535,Vista Unified,68452,3730728,Rancho Buena Vista High,147,57.3469387755,0.523737297133
536,Huntington Beach Union High,66548,3034410,Marina High,170,48.8941176471,0.482646691635
537,San Diego Unified,68338,3732781,Henry High,174,45.4252873563,0.645101219439
538,Chaffey Joint Union High,67652,3634482,Ontario High,76,42.25,0.673227478223
539,Fremont Unified,61176,134452,Kennedy (John F.) High,53,34.5849056604,0.722321695016
540,Chico Unified,61424,437558,Pleasant Valley High,380,49.4710526316,0.611191139281
541,Oroville Union High,61515,437566,Prospect High (Continuation),34,5.88235294118,0.387225548902
542,Torrance Unified,65060,1938752,Torrance High,90,57.7555555556,0.680197090568
543,Twin Rivers Unified,76505,3433794,Grant Union High,77,34.961038961,0.606024488027
544,Hesperia Unified,75044,3630407,Hesperia High,239,34.8912133891,0.346627880273
545,Martinez Unified,61739,730440,Vicente Martinez High,11,10.0,0.73651024615
546,Barstow Unified,67611,3630712,Central High (Continuation),16,6.0,0.488238562697
547,Eureka City Schools,75515,1232206,Eureka Senior High,246,36.0853658537,0.640475500145
548,Los Angeles Unified,64733,1996115,City of Angels,50,43.88,0.875575270308
549,Conejo Valley Unified,73759,5630108,"Conejo Valley High, Cont.",13,0.0,0.493549203137
550,Long Beach Unified,64725,1934678,Lakewood High,192,41.6197916667,0.627080240644
551,Apple Valley Unified,75077,3630423,Apple Valley High,399,46.4035087719,0.412444444444
552,Morongo Unified,67777,3638616,Yucca Valley High,591,33.0406091371,0.330801687764
553,Liberty Union High,61721,730457,Freedom High,102,47.1470588235,0.567729804007
554,Fall River Joint Unified,69989,4533600,Fall River Junior-Senior High,11,73.0,0.330275229358
555,Antioch Unified,61648,730465,Deer Valley High,120,53.55,0.720506845325
556,Glendale Unified,64568,1996131,Clark (A.W.) Magnet High,771,79.906614786,0.601872599232
557,Garden Grove Unified,66522,3033933,Los Amigos High,23,51.7826086957,0.534994634553
558,Capistrano Unified,66464,3038569,Dana Hills High,181,50.7348066298,0.456465596753
559,Paramount Unified,64873,1936749,Paramount High,21,40.0,0.852637254021
560,Anaheim Union High,66431,3030384,Polaris High (Alternative),13,23.0,0.639949943388
561,Sweetwater Union High,68411,3730801,Castle Park Senior High,11,45.0,0.754016957886
562,Campbell Union High,69401,4330866,Branham High,22,64.0,0.722009598445
563,Placer County Office of Education,10314,3130259,Placer County Community Schoo,27,29.1851851852,0.466746794872
564,Santa Maria Joint Union High,69310,4234613,Righetti (Ernest) High,155,33.6064516129,0.43197728687
565,Chino Valley Unified,67678,3632502,Chino High,68,33.7058823529,0.56642519685
566,Saddleback Valley Unified,73635,3030392,Trabuco Hills High,84,73.0,0.475959441779
567,San Francisco Unified,68478,3833407,Lowell High,22,86.5,0.826167975509
568,Marysville Joint Unified,72736,5830013,Lindhurst High,281,26.1672597865,0.366328600406
569,Nevada Joint Union High,66357,2930048,Bear River High,44,50.0,0.492136910268
570,Poway Unified,68296,3730819,Rancho Bernardo High,57,56.1754385965,0.555760188088
571,Norwalk-La Mirada Unified,64840,1934728,La Mirada High,94,50.2765957447,0.651520069242
572,Oceanside Unified,73569,3739018,El Camino High,131,44.2519083969,0.506075917651
573,Garden Grove Unified,66522,3036555,Santiago High,11,18.0,0.670002021427
574,Chico Unified,61424,431502,Fair View High (Continuation),86,7.11627906977,0.611191139281
575,Yucaipa-Calimesa Joint Unified,67959,3638509,Yucaipa High,605,37.4495867769,0.383247817085
576,Lake Elsinore Unified,75176,107920,Lakeside High,257,43.6342412451,0.418744769874
577,Travis Unified,70565,4838801,Vanden High,93,50.3548387097,0.649664153932
578,Kern Union High,63529,1533330,Highland High,174,34.5689655172,0.288645690834
579,Nevada Joint Union High,66357,2930071,Silver Springs High (Continua,66,9.13636363636,0.486882716049
580,Hilmar Unified,65698,2432409,Hilmar High,182,34.4175824176,0.595591030027
581,Orange County Department of Education,10306,3030426,Access Juvenile Hall,32,25.75,0.554275122895
582,Santa Cruz City High,69823,4437406,Soquel High,60,60.1333333333,0.646775544389
583,Kern Union High,63529,1535392,South High,79,36.746835443,0.608172969093
584,Garden Grove Unified,66522,3030434,Bolsa Grande High,47,72.4042553191,0.646395958811
585,Marysville Joint Unified,72736,5830054,Lincoln (Abraham) (Alternativ,26,27.0,0.226726726727
586,San Mateo Union High,69047,4130217,Aragon High,11,64.0,0.772713878794
587,Gateway Unified,75267,4530077,Mountain Lakes High,68,11.6029411765,0.318652162377
588,Martinez Unified,61739,730549,Alhambra Senior High,40,47.6,0.73651024615
589,Pasadena Unified,64881,1936822,Pasadena High,150,44.5133333333,0.689621329844
590,San Jacinto Unified,67249,3337656,San Jacinto High,220,31.3227272727,0.489327296248
591,Fullerton Joint Union High,66514,3032505,Fullerton Un. High,94,56.3404255319,0.607724006762
592,Chino Valley Unified,67678,3630522,Ruben S. Ayala High,27,51.8888888889,0.56642519685
593,Elk Grove Unified,67314,105916,Monterey Trail High,48,41.875,0.53358802929
594,San Diego Unified,68338,3730884,Scripps Ranch High,23,69.7391304348,0.602946365561
595,Los Angeles Unified,64733,1938885,University Senior High,64,53.203125,0.816501215559
596,Apple Valley Unified,75077,3631009,High Desert Premier Academy,55,8.90909090909,0.412444444444
597,Marysville Joint Unified,72736,5830088,North Marysville Cont. Hi,12,25.0,0.226726726727
598,Los Angeles Unified,64733,124362,Valley Academy of Arts and Sc,130,35.3153846154,0.607977991747
599,Modesto City High,71175,5030135,Johansen (Peter) High,214,43.546728972,0.298161470823
600,Marysville Joint Unified,72736,5830096,South Lindhurst Continuation,26,4.0,0.366328600406
601,Porterville Unified,75523,5432786,Monache High,101,44.5346534653,0.288544358312
