,District,School Code,School Name,number,score,vote
814,Ramona City Unified,102178,Future Bound Independent Stud,14,21.0,0.315043052507
815,Napa Valley Unified,2830115,New Technology High,126,84.9603174603,0.693938949222
816,San Dieguito Union High,3737384,"Sunset High, Cont.",46,41.2608695652,0.639365324083
817,San Luis Obispo County Office of Educati,4030250,San Luis Obispo County Commun,33,24.8181818182,0.674925097949
818,Apple Valley Unified,3630894,Granite Hills High,290,62.5344827586,0.285087719298
819,Redlands Unified,3634995,"Orangewood High, Cont.",12,8.0,0.560438237419
820,Santa Barbara Unified,4235230,San Marcos Senior High,416,87.0528846154,0.730465874435
821,Fontana Unified,3630902,Kaiser (Henry J.) High,50,58.16,0.782992589478
822,Cotati-Rohnert Park Unified,4935482,Rancho Cotate High,437,57.0663615561,0.729064800041
823,Lucia Mar Unified,4030268,Nipomo High,258,68.6356589147,0.448065173116
824,Moreno Valley Unified,3333770,Moreno Valley High,14,86.0,0.600726019361
825,Sanger Unified,1036094,Sanger High,147,72.0408163265,0.374449339207
826,Gilroy Unified,114496,Dr. T. J. Owens Gilroy Early,58,100.0,0.697410402909
827,Placentia-Yorba Linda Unified,119404,Yorba Linda High,817,80.6878824969,0.502101078932
828,Napa Valley Unified,2830149,Valley Oak High,14,14.0,0.635677083333
829,Fullerton Joint Union High,3030855,Buena Park High,56,60.5714285714,0.624969158648
830,Los Angeles Unified,1937226,Reseda Senior High,58,70.8103448276,0.695140327745
831,Riverdale Joint Unified,1035575,Riverdale High,49,48.9183673469,0.153374233129
832,Saddleback Valley Unified,3034956,Mission Viejo High,1069,81.0037418148,0.475959441779
833,Lake Tahoe Unified,937805,South Tahoe High,275,73.0436363636,0.64748427673
834,Mojave Unified,114512,California City High,56,68.0535714286,0.391441157961
835,San Dieguito Union High,106328,Canyon Crest Academy,1009,86.0019821606,0.639365324083
836,Yuba City Unified,5130075,Yuba City Unified Alter.,12,33.0,0.402011581835
837,Natomas Unified,102236,Inderkum High,92,59.8586956522,0.673297678059
838,Sweetwater Union High,3730405,Bonita Vista Senior High,255,77.9411764706,0.675064800415
839,Manteca Unified,3932001,East Union High,271,59.3505535055,0.507855822551
840,Redlands Unified,3635042,Redlands Senior High,435,80.3172413793,0.560438237419
841,Lompoc Unified,4233060,Lompoc High,80,53.3375,0.409012131716
842,Kern Union High,100198,Golden Valley High,58,60.3103448276,0.568197553658
843,ABC Unified,1933159,Gahr (Richard) High,80,65.0625,0.669346150659
844,Davis Joint Unified,5732201,Davis Senior High,577,85.0,0.521778584392
845,Anderson Union High,4530028,West Valley High,283,66.5689045936,0.244873046875
846,Northern Humboldt Union High,1230705,Arcata High,287,74.3414634146,0.84499448597
847,Sierra-Plumas Joint Unified,4634259,Loyalton High,29,58.6896551724,0.752427184466
848,Modesto City High,5031802,Thomas Downey High,272,69.3529411765,0.503361941726
849,San Diego Unified,3730751,Mt. Everest Academy,47,85.0,0.604657849339
850,Shasta Union High,4530044,Foothill High,507,73.1775147929,0.245927075252
851,San Juan Unified,3432317,El Camino Fundamental High,600,70.1466666667,0.613677778969
852,Newman-Crows Landing Unified,5035902,Orestimba High,95,63.1052631579,0.523248969982
853,Twin Rivers Unified,3434370,Highlands High,53,73.641509434,0.512501104338
854,Porterville Unified,5430251,Granite Hills High,31,58.064516129,0.288544358312
855,Maxwell Unified,634758,Maxwell High,41,66.0487804878,0.327423167849
856,Temecula Valley Unified,3330370,Temecula Valley High,905,75.1392265193,0.408742194469
857,Hacienda la Puente Unified,1935246,Los Altos High,82,80.6585365854,0.629021981523
858,Placer Union High,102293,Foresthill High,94,63.1595744681,0.669291338583
859,Tahoe-Truckee Joint Unified,3130010,North Tahoe High,116,82.6551724138,0.738916256158
860,Alameda City Unified,106401,Alameda Science and Technolog,11,91.0,0.891270112975
861,Fullerton Joint Union High,3037090,Sonora High,303,73.5247524752,0.532154474935
862,Newport-Mesa Unified,3035045,Newport Harbor High,933,87.6398713826,0.47624178429
863,San Juan Unified,3438504,San Juan High,75,38.5866666667,0.501066821841
864,Chino Valley Unified,3631017,Chino Hills High,659,73.3763277693,0.56642519685
