,District,School Code,School Name,number,score,vote
245,Los Angeles Unified,124529,Rancho Dominguez Preparatory,137,37.6423357664,0.737823921668
246,Lake Elsinore Unified,116343,Keith McCarthy Academy,32,19.0,0.418744769874
247,Barstow Unified,3630712,Central High (Continuation),62,4.59677419355,0.488238562697
248,Sweetwater Union High,116350,Bounce Back Independent Study,225,24.0,0.754016957886
249,Montebello Unified,124552,Applied Technology Center,59,56.0,0.737907992804
250,Emery Unified,132746,Emery Secondary,11,9.0,0.915275200989
251,Hesperia Unified,3630746,Sultana High,533,59.8292682927,0.346627880273
252,Fontana Unified,108191,Summit High,535,58.8542056075,0.598276322822
253,San Mateo Union High,4130472,Burlingame High,854,80.0234192037,0.771918338194
254,Garden Grove Unified,3032752,Garden Grove High,708,65.7316384181,0.646146252027
255,Redlands Unified,3630779,Redlands East Valley High,897,71.4816053512,0.560438237419
256,Gateway Unified,4531901,Central Valley High,199,56.824120603,0.318652162377
257,Lodi Unified,108225,Ronald E. McNair High,271,50.8597785978,0.568053440739
258,Salinas Union High,124610,El Puente,51,10.0,0.766725159026
259,Victor Valley Union High,3630787,Silverado High,515,46.3708737864,0.562874603361
260,El Dorado Union High,930081,Oak Ridge High,1520,81.7598684211,0.455197962491
261,Centinela Valley Union High,1935048,Leuzinger High,78,34.6666666667,0.75959933222
262,Barstow Unified,3630803,Barstow High,381,53.062992126,0.488238562697
263,Hesperia Unified,3630811,Shadow Ridge,72,16.6527777778,0.346627880273
264,Laton Joint Unified,1033950,Laton High,52,53.8846153846,0.346239761727
265,Roseville Joint Union High,116459,Antelope High,769,70.7542262679,0.514728477984
266,Antioch Unified,730861,Antioch High,407,56.3488943489,0.671317619435
267,Antelope Valley Union High,100081,William J. (Pete) Knight High,1598,44.9486858573,0.55445193331
268,Chaffey Joint Union High,3630845,Chaffey Community Day,111,29.8738738739,0.740069892208
269,Linden Unified,3933959,Linden High,244,65.2090163934,0.871118012422
270,Alameda City Unified,132878,Encinal High,335,62.8776119403,0.891270112975
271,Exeter Union High,5431598,Exeter High,371,57.7601078167,0.455
272,Oakdale Joint Unified,5030192,Valley Oak Junior and Senior,15,7.0,0.381089459699
273,Yuba City Unified,5130018,Powell (Albert) Cont.,47,17.2978723404,0.402011581835
274,Perris Union High,3335973,Perris,144,41.375,0.624669797476
275,San Dieguito Union High,3737384,"Sunset High, Cont.",61,37.393442623,0.639365324083
276,Apple Valley Unified,3630894,Granite Hills High,506,58.918972332,0.285087719298
277,Fontana Unified,3630902,Kaiser (Henry J.) High,426,45.8098591549,0.782992589478
278,Kingsburg Joint Union High,124727,Kingsburg Independent Study H,14,14.0,0.350026357406
279,East Side Union High,4335428,Overfelt (William C.) Hig,82,50.0731707317,0.796362220492
280,San Dieguito Union High,3737418,San Dieguito High Academy,1007,80.912611718,0.639365324083
281,Santa Ana Unified,108365,Segerstrom High,359,74.1225626741,0.673099513341
282,Tustin Unified,3032919,"Hillview High, Cont.",18,22.0,0.624855443582
283,Yuba City Unified,5130075,Yuba City Unified Alter.,44,33.9545454545,0.402011581835
284,Tulare Joint Union High,116368,Mission Oak High,391,59.0971867008,0.509095204347
285,Kern Union High,100198,Golden Valley High,303,43.6600660066,0.568197553658
286,Huntington Beach Union High,3032943,Huntington Beach High,1768,76.9937782805,0.452202878512
287,Northern Humboldt Union High,1230705,Arcata High,445,72.793258427,0.84499448597
288,Sierra-Plumas Joint Unified,4634259,Loyalton High,35,57.1142857143,0.752427184466
289,Modesto City High,5031802,Thomas Downey High,415,67.778313253,0.503361941726
290,Twin Rivers Unified,3434370,Highlands High,126,55.7619047619,0.512501104338
291,San Bernardino County Office of Educatio,3630985,West End Community Day,13,8.0,0.654796174204
292,Hacienda la Puente Unified,1935246,Los Altos High,551,68.4936479129,0.629021981523
293,Coachella Valley Unified,100255,Desert Mirage High,54,35.8518518519,0.423395445135
294,Apple Valley Unified,3631009,High Desert Premier Academy,54,5.14814814815,0.412444444444
295,Chino Valley Unified,3631017,Chino Hills High,1761,72.9119818285,0.56642519685
296,San Mateo Union High,4130738,Capuchino High,548,61.3649635036,0.773506840174
297,Bonita Unified,1937739,San Dimas High,645,66.6403100775,0.532519190509
298,Corcoran Joint Unified,1632207,Corcoran High,117,51.4188034188,0.573102678571
299,Chaffey Joint Union High,3631058,Los Osos High,1762,71.1498297389,0.432260912753
300,Bear Valley Unified,3631066,Big Bear High,242,71.5,0.359212738602
301,Norwalk-La Mirada Unified,1933647,Glenn (John H.) High,204,46.9901960784,0.66824754731
302,Upland Unified,3637584,Upland High,1347,69.7542687454,0.610185756392
303,River Delta Joint Unified,4835302,Rio Vista High,142,60.5915492958,0.542412270509
304,Kern Union High,116392,Independence High,646,61.0139318885,0.815833333333
305,Los Angeles Unified,1935352,Los Angeles Senior High,171,31.4035087719,0.855435342607
306,Gridley Unified,433953,Gridley High,177,63.9661016949,0.38407079646
307,Oakdale Joint Unified,5031950,East Stanislaus High,12,0.0,0.381089459699
308,Anaheim Union High,3033115,John F. Kennedy High,1044,82.2863984674,0.620361429163
309,San Marcos Unified,3737632,San Marcos High,955,86.3267015707,0.556289356474
310,Kern Union High,116400,Mira Monte High,107,43.8224299065,0.568197553658
311,Riverside Unified,3336237,Polytechnic High,1000,65.256,0.55196454629
312,North Monterey County Unified,2730034,North Monterey County High,181,61.8121546961,0.724327897752
313,Chaffey Joint Union High,3631157,Colony High,585,56.5299145299,0.584564584732
314,Murrieta Valley Unified,100420,Vista Murrieta High,1634,74.6474908201,0.408031308491
315,Lynwood Unified,1935436,Lynwood High,242,27.8636363636,0.818173573955
316,Oxnard Union High,5630066,"Frontier High, Cont.",31,16.0,0.562587476419
317,Laguna Beach Unified,3033206,Laguna Beach High,650,85.9107692308,0.55997588909
318,Salinas Union High,2730109,Alisal High,418,35.8444976077,0.845149851011
319,Jurupa Unified,3330412,Jurupa Valley High,274,43.9160583942,0.58273381295
320,Sacramento City Unified,3434636,Johnson (Hiram W.) High,136,31.4411764706,0.797459584296
321,North Monterey County Unified,2730125,North Monterey County Ctr,45,42.4444444444,0.638313875535
322,Fortuna Union High,108688,Academy of the Redwoods,132,81.803030303,0.516473887136
323,Conejo Valley Unified,5630108,"Conejo Valley High, Cont.",30,27.0,0.493549203137
324,North Monterey County Unified,2730141,"Central Bay High, Cont.",13,8.0,0.638313875535
325,Los Angeles Unified,1935519,Manual Arts Senior High,84,12.0119047619,0.87685560054
326,Elk Grove Unified,116897,Cosumnes Oaks High,800,73.175,0.635654169855
327,Conejo Valley Unified,5630116,Westlake High,1518,85.6185770751,0.53258887876
328,Palo Alto Unified,4335782,Palo Alto High,1218,85.8382594417,0.900408841191
329,Sequoia Union High,4130993,Carlmont High,1269,85.2584712372,0.798728472558
330,Oak Park Unified,5630132,Oak Park High,1024,91.5234375,0.679618001047
331,Salinas Union High,2730166,Everett Alvarez High,654,54.7889908257,0.766725159026
332,South Monterey County Joint Union High,2730174,Greenfield High,75,42.4533333333,0.578772189349
333,Butte Valley Unified,4731253,Butte Valley High,14,21.0,0.231517509728
334,Soledad Unified,2730190,Soledad High,100,48.04,0.819921302369
335,Los Angeles Unified,1935568,John Marshall Senior High,449,58.5545657016,0.690659481653
336,Elk Grove Unified,108753,Pleasant Grove High,1256,77.423566879,0.53358802929
337,Colton Joint Unified,3631322,Bloomington High,325,47.8123076923,0.760985136161
338,Long Beach Unified,125153,Beach High-ILP,50,6.3,0.575231756596
339,Tulelake Basin Joint Unified,4737250,Tulelake High,12,67.0,0.294797687861
340,Oakland Unified,125161,Castlemont High,16,13.0,0.879256384577
341,Anaheim Union High,3032786,"Gilbert High, Cont.",33,9.0,0.639949943388
342,Mt. Diablo Unified,731380,Clayton Valley High,998,65.3547094188,0.66013560674
343,Oak Park Unified,5630199,"Oak View High, Cont.",14,7.0,0.679618001047
344,Bellflower Unified,1935618,Mayfair High,804,61.6567164179,0.728351881293
345,Moorpark Unified,5630215,Community High,28,36.0,0.518262586377
346,Sacramento City Unified,3434768,Kennedy (John F.) High,541,66.7393715342,0.746039824416
347,Chawanakee Unified,117010,Minarets High,130,74.7307692308,0.315913688469
348,Livermore Valley Joint Unified,133397,Granada High,1221,75.9754299754,0.429708222812
349,Monterey County Office of Education,2730265,Salinas Community,29,10.8620689655,0.766725159026
350,East Side Union High,4335907,Piedmont Hills High,1122,69.7771836007,0.675513501039
