,District,School Code,School Name,number,score,vote
1640,Saddleback Valley Unified,3030509,Mira Monte High (Alter.),35,45.6,0.475959441779
1641,Garden Grove Unified,3030517,Lincoln High Continuation,18,0.0,0.670002021427
1642,Los Angeles Unified,122358,"Humanitas Academy, Art & Tech.",368,24.9809782609,0.877926131437
1643,Los Angeles Unified,122366,Social Justice Leadership Acad,341,17.0117302053,0.877926131437
1644,Los Angeles Unified,122374,East LA Renaissance Academy,287,33.0836236934,0.877926131437
1645,Morongo Unified,3636743,Twentynine Palms High,530,51.4188679245,0.330801687764
1646,Los Angeles Unified,122382,Engineering & Tech Acad. #3,328,31.5487804878,0.877926131437
1647,Oakland Unified,130575,LIFE Academy,170,31.5176470588,0.88386797378
1648,Los Angeles Unified,1932821,Boyle Heights Continuation,59,1.83050847458,0.870950978694
1649,Cutler-Orosi Joint Unified,5430806,Lovell High,30,3.0,0.685109289617
1650,Pleasanton Unified,130583,Amador Valley High,1937,82.701600413,0.670665009323
1651,Orland Joint Unified,1130012,"North Valley High, Cont.",12,17.0,0.351932621447
1652,Sutter County Office of Education,114207,Feather River Academy,78,7.83333333333,0.436825813714
1653,Campbell Union High,4330759,Boynton High,97,32.0,0.780708696034
1654,Capistrano Unified,3030574,Aliso Niguel High,2157,77.411219286,0.504467148292
1655,Los Angeles Unified,1932847,Los Angeles Center for Enrich,660,86.0772727273,0.740799366838
1656,San Ramon Valley Unified,736819,Del Amigo High (Continuation),55,15.0363636364,0.628745690798
1657,Shasta Union High,114231,Foothill Plus,21,29.0,0.35168792198
1658,Walnut Valley Unified,1932862,Diamond Bar High,2252,75.4853463588,0.57246031746
1659,San Francisco Unified,3833407,Lowell High,1928,96.0461618257,0.826167975509
1660,West Covina Unified,122432,Edgewood High,394,64.2284263959,0.718396082032
1661,Pomona Unified,6061634,Fremont Academy of Engineerin,189,38.7248677249,0.694546617624
1662,Shasta Union High,114249,Enterprise Plus,16,31.0,0.35168792198
1663,Pomona Unified,6061642,Palomares Academy of Health S,93,44.0,0.724364942147
1664,Santa Ana Unified,3030608,Middle College High,230,92.3913043478,0.63249987815
1665,Anaheim Union High,3030616,Oxford Academy,543,99.7127071823,0.555395524042
1666,San Luis Coastal Unified,4030045,Pacific Beach High,33,21.0,0.674925097949
1667,Orange County Department of Education,3030632,OCCS:CHEP/PCHS,346,72.901734104,0.47624178429
1668,Washington Unified,122473,Elm High,31,10.6451612903,0.443277310924
1669,San Juan Unified,3432051,Del Campo High,1377,51.9092229484,0.486412512219
1670,Los Angeles Unified,1932920,Fairfax Senior High,1633,50.8371096142,0.843086361491
1671,Lone Pine Unified,1434901,Lone Pine High,72,46.9722222222,0.442335766423
1672,Soledad Unified,106112,Pinnacles High,17,0.0,0.819921302369
1673,Irvine Unified,3030657,Northwood High,1416,81.2118644068,0.627551020408
1674,Moreno Valley Unified,3333762,March Mountain High,186,14.6129032258,0.600726019361
1675,Tamalpais Union High,2132587,Redwood High,1108,83.6137184116,0.786662367672
1676,Turlock Unified,5037700,Turlock High,1485,55.802020202,0.616432613708
1677,Moreno Valley Unified,3333770,Moreno Valley High,1656,33.6026570048,0.600726019361
1678,Oceanside Unified,3735206,Oceanside High,1589,48.1422278162,0.585771868293
1679,Humboldt County Office of Education,106153,Eel River Community,32,6.125,0.640475500145
1680,Summerville Union High,5530027,"Tuolumne High, Cont.",12,17.0,0.501577287066
1681,Humboldt County Office of Education,106161,Eureka Community,82,16.0975609756,0.640475500145
