,District,District Code,School Code,School Name,number,score,vote
999,Escondido Union High,68106,3735313,Orange Glen High,1251,37.4980015987,0.369605142332
1000,Napa County Office of Education,10280,2830099,Napa County Community,60,3.5,0.693938949222
1001,San Diego County Office of Education,10371,124693,North Region Community-Escondi,69,5.69565217391,0.485431302545
1002,Delano Joint Union High,63412,1531672,Delano High,926,39.2796976242,0.800452147702
1003,Elk Grove Unified,67314,3430170,Valley High,370,35.6378378378,0.810262114997
1004,Newport-Mesa Unified,66597,3034907,Back Bay High (Cont.),56,8.75,0.47624178429
1005,Benicia Unified,70524,4831004,Benicia High,154,60.7077922078,0.689301416707
1006,San Diego County Office of Education,10371,124701,North Region Community-Oceansi,32,3.1875,0.485431302545
1007,Gridley Unified,75507,433953,Gridley High,251,40.9482071713,0.38407079646
1008,Ramona City Unified,68304,102178,Future Bound Independent Stud,12,8.0,0.315043052507
1009,Napa Valley Unified,66266,2830115,New Technology High,109,66.8440366972,0.693938949222
1010,Perris Union High,67207,3335973,Perris,1537,34.9765777489,0.624669797476
1011,Sacramento County Office of Education,10348,106278,El Centro Jr./Sr. High,17,6.0,0.642857142857
1012,Grossmont Union High,68130,3737905,Santana High,147,47.5102040816,0.371937452964
1013,San Dieguito Union High,68346,3737384,"Sunset High, Cont.",19,11.0,0.639365324083
1014,San Luis Obispo County Office of Educati,10405,4030250,San Luis Obispo County Commun,93,8.87096774194,0.674925097949
1015,Woodland Joint Unified,72710,5738802,Woodland Senior High,523,39.1147227533,0.655936454849
1016,Apple Valley Unified,75077,3630894,Granite Hills High,430,38.5441860465,0.285087719298
1017,San Diego County Office of Education,10371,124719,North Region Community-San Mar,53,9.47169811321,0.485431302545
1018,Sanger Unified,62414,1030451,Taft High,82,8.31707317073,0.374449339207
1019,Santa Barbara Unified,76786,4235230,San Marcos Senior High,707,43.6294200849,0.730465874435
1020,Sanger Unified,62414,1036086,"Kings River High, Cont.",29,0.0,0.374449339207
1021,Kingsburg Joint Union High,62257,124727,Kingsburg Independent Study H,15,7.0,0.350026357406
1022,Pajaro Valley Unified,69799,4430203,New School Community Day,18,6.0,0.788247387357
1023,San Diego County Office of Education,10371,116020,East Region Court,18,0.0,0.613442403744
1024,Lodi Unified,68585,3930278,Plaza Robles Continuation High,24,25.0,0.613983375582
1025,Lemoore Union High,63982,1630011,"Jamison (Donald C.) High, Cont",47,8.36170212766,0.421127512004
1026,Lucia Mar Unified,68759,4030268,Nipomo High,366,44.650273224,0.448065173116
1027,Santa Ana Unified,66670,6115133,Community Day Inter. and High,58,3.60344827586,0.799118079373
1028,Sanger Unified,62414,1036094,Sanger High,1456,46.7822802198,0.374449339207
1029,San Diego Unified,68338,3735750,Point Loma High,508,52.6653543307,0.687368103708
1030,Placentia-Yorba Linda Unified,66647,119404,Yorba Linda High,186,65.4301075269,0.502101078932
1031,East Side Union High,69427,4335428,Overfelt (William C.) Hig,807,29.2416356877,0.796362220492
1032,Napa Valley Unified,66266,2830149,Valley Oak High,64,6.5625,0.635677083333
1033,Anaheim Union High,66431,3033057,Katella High,1660,45.4578313253,0.570533680443
1034,Desert Sands Unified,67058,114504,Summit High (Continuation),88,13.0,0.441717002956
1035,San Dieguito Union High,68346,3737418,San Dieguito High Academy,257,60.0389105058,0.639365324083
1036,Saddleback Valley Unified,73635,3034956,Mission Viejo High,393,57.7811704835,0.475959441779
