,District,School Code,School Name,number,score,vote
80,Perris Union High,3330172,"Perris Lake High, Cont.",107,11.0,0.599527085125
81,Salinas Union High,2730109,Alisal High,1295,31.7034749035,0.845149851011
82,Elk Grove Unified,3430527,"Insights High, Cont.",43,9.06976744186,0.724257282954
83,Santa Paula Union High,5635776,Santa Paula High,816,37.9705882353,0.691237192231
84,Monterey County Office of Education,2730117,Wellington Smith,71,5.46478873239,0.766725159026
85,Kern Union High,125062,Tierra Del Sol Continuation Hi,123,3.21951219512,0.568197553658
86,Hanford Joint Union High,118919,Sierra Pacific High,261,36.6781609195,0.41235459286
87,Modesto City High,121129,Gregori High,559,43.8264758497,0.624695161083
88,Azusa Unified,1933449,Gladstone High,819,39.5384615385,0.461583577713
89,South Monterey County Joint Union High,2732170,King City High,469,36.4029850746,0.708883025506
90,Sacramento City Unified,3434636,Johnson (Hiram W.) High,875,31.0274285714,0.797459584296
91,Shasta County Office of Education,4530317,Oasis Community,53,6.07547169811,0.35168792198
92,Fresno Unified,1030287,Young Academic Center,898,9.33407572383,0.770626242545
93,Fortuna Union High,108688,Academy of the Redwoods,41,61.1707317073,0.516473887136
94,Escalon Unified,3932308,Escalon High,262,31.8320610687,0.38561479177
95,Fontana Unified,3633302,Fontana High,1674,37.7180406213,0.767511394713
96,Hayward Unified,135319,Mt. Eden High,861,32.3704994193,0.805712270804
97,Santa Rosa High,4930244,Carrillo (Maria) High,155,53.3677419355,0.760627802691
98,Brawley Union High,1331354,"Desert Valley High, Cont.",52,10.0,0.697323900338
99,Alvord Unified,3334299,Norte Vista High,1409,36.2171753016,0.641564318035
100,Conejo Valley Unified,5630108,"Conejo Valley High, Cont.",53,3.49056603774,0.493549203137
101,Oakland Unified,112797,Coliseum College Prep Academy,98,25.4489795918,0.78
102,Elk Grove Unified,116897,Cosumnes Oaks High,415,49.0240963855,0.635654169855
103,Anaheim Union High,3033115,John F. Kennedy High,664,69.4819277108,0.620361429163
104,Fullerton Joint Union High,3037348,Sunny Hills High,380,67.1526315789,0.634521880065
105,Kern Union High,1530021,Central Valley High (Continua,30,3.0,0.595263958288
106,Banning Unified,3330214,Banning High,703,29.253200569,0.449500318945
107,Plumas Unified,3236007,Quincy Junior/Senior High,56,57.0714285714,0.579813250333
108,San Juan Unified,3436714,Rio Americano High,221,45.1402714932,0.613832853026
109,San Juan Unified,3431111,Casa Roble Fundamental High,299,44.8762541806,0.442007644589
110,Simi Valley Unified,5630322,Santa Susana High,235,72.7744680851,0.510060259422
111,Banning Unified,3330222,New Horizon High,42,7.0,0.449500318945
112,Pittsburg Unified,735407,Pittsburg Senior High,1477,32.4509140149,0.811901646119
113,San Diego Unified,107482,San Diego Metro Career and Te,58,55.5344827586,0.63646714996
114,Delano Joint Union High,100529,Cesar E. Chavez High,950,59.7663157895,0.800452147702
115,Santa Paula Union High,5636170,"Renaissance High, Cont.",63,3.30158730159,0.691237192231
116,Stanislaus County Office of Education,5030069,Stanislaus Community,47,2.23404255319,0.504190412337
117,Salinas Union High,2730166,Everett Alvarez High,972,38.6244855967,0.766725159026
118,Southern Kern Unified,1530039,"Rare Earth High, Cont.",36,5.52777777778,0.479087452471
119,Natomas Unified,3430584,Natomas High,592,36.7162162162,0.638572425017
120,San Leandro Unified,137588,San Leandro High,1082,39.6977818854,0.737482842991
121,San Bernardino County Office of Educatio,123372,High Desert Assessment Ctr.,55,7.72727272727,0.285087719298
122,South Monterey County Joint Union High,2730174,Greenfield High,490,31.8244897959,0.578772189349
123,Kern Union High,1530047,Nueva Continuation High,37,5.0,0.590923124421
124,Elk Grove Unified,3430592,Laguna Creek High,611,44.1276595745,0.669520992267
125,Fresno County Office of Education,1030337,Fresno County Court,203,10.5862068966,0.604175194433
126,San Diego Unified,3733698,Madison High,503,43.8071570577,0.604657849339
127,Hughson Unified,5032651,Hughson High,240,45.6541666667,0.390536723164
128,Stanislaus County Office of Education,5030085,John B. Allard,262,5.06106870229,0.616432613708
129,Sierra Sands Unified,1530054,Mesquite Cont. High,26,23.0,0.31420233463
130,Yucaipa-Calimesa Joint Unified,3633351,Green Valley High,29,14.0,0.383247817085
131,Sweetwater Union High,3730124,Southwest Senior High,892,36.2152466368,0.653173965448
132,McFarland Unified,1534155,McFarland High,541,29.7578558226,0.552551020408
133,Brawley Union High,1331404,Brawley High,788,39.0012690355,0.697323900338
134,Soledad Unified,2730190,Soledad High,817,30.1481028152,0.819921302369
135,East Side Union High,4330361,Apollo High,50,12.0,0.796362220492
136,Elk Grove Unified,108753,Pleasant Grove High,536,57.1585820896,0.53358802929
137,Kern Union High,1530385,Ridgeview High,1058,40.7967863894,0.441355674029
138,Vista Unified,3730728,Rancho Buena Vista High,860,44.4651162791,0.523737297133
139,Placer Union High,3135704,Placer High,252,44.5634920635,0.466746794872
140,Elk Grove Unified,3430618,Sheldon High,966,43.6666666667,0.599445599446
141,Sonora Union High,5530043,Bird High,20,24.0,0.402743379691
142,Hemet Unified,106716,Hamilton High,182,43.8626373626,0.306974190005
143,Monterey Peninsula Unified,2732253,Central Coast High,44,9.0,0.674866063713
144,Placer Union High,3132453,Del Oro High,181,66.0,0.406476190476
145,Patterson Joint Unified,5036256,Patterson High,834,38.9592326139,0.577589023195
146,Santa Rosa High,110288,Lewis Opportunity,22,0.0,0.685388685389
147,Natomas Unified,3430626,Discovery High,14,0.0,0.638572425017
148,Dos Palos Oro Loma Joint Unified,2431203,Dos Palos High,456,46.048245614,0.372367312553
