,District,School Code,School Name,number,score,vote
361,Santa Ana Unified,3035821,Saddleback High,191,21.0314136126,0.608246977547
362,Fall River Joint Unified,4533600,Fall River Junior-Senior High,82,65.8048780488,0.330275229358
363,San Mateo Union High,4135265,Peninsula High Continuation,64,22.5625,0.773506840174
364,Western Placer Unified,3130036,"Phoenix High, Cont.",12,8.0,0.403606102635
365,Lucia Mar Unified,4033205,Lopez Continuation High,54,7.25925925926,0.530927105449
366,Pajaro Valley Unified,4430518,Aptos High,1349,53.4988880652,0.734965034965
367,Temecula Valley Unified,3330743,Chaparral High,3357,54.7759904677,0.423866370972
368,Anaheim Union High,3033784,Loara High,864,45.1527777778,0.639949943388
369,Mt. Diablo Unified,731836,Concord High,1157,47.8210890233,0.66013560674
370,Kern Union High,1532605,Foothill High,324,34.3425925926,0.288645690834
371,Santa Cruz City High,4437109,Santa Cruz High,1125,56.9697777778,0.751190229766
372,Santa Rosa High,4930244,Carrillo (Maria) High,1982,67.7598385469,0.760627802691
373,San Lorenzo Unified,130849,Arroyo High,1503,42.9627411843,0.789598540146
374,Oxnard Union High,5634761,Rio Mesa High,1175,51.8263829787,0.733040003592
375,Sacramento City Unified,3430519,Capital City,178,13.5112359551,0.810262114997
376,Nevada Joint Union High,2935500,Nevada Union High,2134,54.2610121837,0.486882716049
377,Pajaro Valley Unified,4437794,Renaissance High (Cont.),14,7.0,0.788247387357
378,Fresno Unified,1032911,Herbert Hoover High,435,36.7011494253,0.574914546145
379,Fallbrook Union High,3732179,Fallbrook High,1367,56.4652523775,0.408724700334
380,Milpitas Unified,4334470,Milpitas High,2668,63.6053223388,0.761451562984
381,Oakland Unified,137943,Skyline High,667,34.2458770615,0.773475898939
382,Paradise Unified,432856,Ridgeview High (Continuation),11,9.0,0.195263412276
383,Oakland Unified,6114011,"Independent Study, Sojourner",40,22.6,0.879256384577
384,Windsor Unified,4930269,Windsor Oaks Academy,19,5.0,0.690663417876
385,Oakland Unified,135905,Oakland High,260,22.7461538462,0.925277728796
386,Fallbrook Union High,3732195,"Ivy High, Cont.",13,15.0,0.408724700334
387,Ventura County Office of Education,5630397,Gateway County,39,11.0,0.562587476419
388,Chowchilla Union High,2032357,Chowchilla High,317,45.905362776,0.42074776198
389,Santa Clara Unified,4338406,New Valley Cont. High,22,18.0,0.761659933896
390,Red Bluff Joint Union High,5237201,Red Bluff High,943,46.3351007423,0.313456053928
391,Elk Grove Unified,3432572,Elk Grove High,1635,56.2336391437,0.53358802929
392,Oxnard Union High,125674,Oxnard Independent Study,28,19.5,0.593989852999
393,Biggs Unified,430827,Biggs High,37,37.8648648649,0.404551201011
394,Salinas Union High,2730109,Alisal High,766,29.8041775457,0.845149851011
395,Contra Costa County Office of Education,6077168,Floyd Marchus,15,47.0,0.702267303103
396,Chaffey Joint Union High,3633906,Montclair High,766,36.2637075718,0.684804437219
397,Windsor Unified,4930228,Windsor High,1449,49.9710144928,0.690663417876
398,Hesperia Unified,115444,Canyon Ridge High,26,4.0,0.291064388962
399,San Diego Unified,3734654,Morse High,789,43.0380228137,0.762409667101
400,Sonora Union High,5536503,Sonora High,854,52.5597189696,0.402743379691
401,Vista Unified,115451,Major General Raymond Murray,29,13.8620689655,0.523737297133
402,Victor Valley Union High,3638012,Victor Valley High,792,33.5505050505,0.447736654306
403,Folsom-Cordova Unified,113571,Vista del Lago High,1930,64.410880829,0.496486605182
404,Santa Maria Joint Union High,4236030,Santa Maria High,271,30.7453874539,0.488544474394
405,Willits Unified,2335487,Willits High,210,38.7761904762,0.610826064649
406,Folsom-Cordova Unified,3433216,Folsom High,2405,68.0548856549,0.496486605182
407,Porterville Unified,5434113,Porterville High,783,45.8314176245,0.288544358312
408,Palm Springs Unified,3330818,Desert Hot Springs High,181,33.0662983425,0.528595296234
409,Riverside Unified,3330859,Martin Luther King Jr. High,2947,58.0003393281,0.529643427355
410,San Diego Unified,3730181,Mira Mesa High,1946,62.8304213772,0.620477794411
411,Huntington Beach Union High,3030145,Ocean View High,1005,46.9333333333,0.540354981437
412,Monterey Peninsula Unified,2732808,Monterey High,996,52.4558232932,0.678728493172
413,Upland Unified,3630456,Hillside High,29,14.0,0.610185756392
