,District,School Code,School Name,number,score,vote
711,San Jacinto Unified,3337656,San Jacinto High,489,36.6421267894,0.489327296248
712,Fullerton Joint Union High,3032505,Fullerton Un. High,829,64.5042219542,0.607724006762
713,Chino Valley Unified,3630522,Ruben S. Ayala High,1056,62.0776515152,0.56642519685
714,Carpinteria Unified,4230587,Carpinteria Senior High,186,68.4408602151,0.670029051001
715,Livermore Valley Joint Unified,130492,Phoenix High (Continuation),12,0.0,0.429708222812
716,East Side Union High,4332995,Hill (Andrew P.) High,48,46.375,0.775708680997
717,San Diego Unified,3730884,Scripps Ranch High,1526,76.6513761468,0.602946365561
718,Fremont Unified,138693,Washington High,799,47.3717146433,0.759161490683
719,Taft Union High,1535905,Taft Union High,572,43.4825174825,0.191363777571
720,Marysville Joint Unified,5830088,North Marysville Cont. Hi,51,13.5490196078,0.226726726727
721,Modesto City High,5030135,Johansen (Peter) High,577,42.7071057192,0.298161470823
722,Liberty Union High,730572,Independence High,147,35.2380952381,0.571727092258
723,River Delta Joint Unified,112078,Clarksburg Middle,31,54.7741935484,0.528655597215
724,Marysville Joint Unified,5830096,South Lindhurst Continuation,34,6.0,0.366328600406
725,Porterville Unified,5432786,Monache High,511,51.6731898239,0.288544358312
726,Placentia-Yorba Linda Unified,3030483,La Entrada High,64,51.671875,0.502101078932
727,Shasta Union High,114132,Shasta Plus,14,43.0,0.35168792198
728,Fontana Unified,3630555,Fontana Miller (A. B.) High,99,49.4242424242,0.598276322822
729,Tracy Joint Unified,114140,George and Evelyn Stein Conti,18,22.0,0.628774661119
730,Kingsburg Joint Union High,1033695,Kingsburg High,562,51.9466192171,0.350026357406
731,Wheatland Union High,5838305,Wheatland Union High,540,36.8259259259,0.2325
732,San Bernardino City Unified,3630308,San Andreas High,29,0.0,0.540065016539
733,West Contra Costa Unified,730598,Hercules High,95,44.2947368421,0.796276929513
734,Sierra Sands Unified,1531367,Burroughs High,1092,52.0906593407,0.31420233463
735,Konocti Unified,1730027,Carle (William C.) High (Cont,46,17.3695652174,0.431428571429
736,Del Norte County Unified,833004,Del Norte High,686,45.0306122449,0.407816091954
737,Saddleback Valley Unified,3030509,Mira Monte High (Alter.),14,50.0,0.475959441779
738,Petaluma Joint Union High,4935151,Petaluma High,1326,54.7081447964,0.613377434767
739,Victor Valley Union High,110064,University Preparatory,219,68.7351598174,0.447736654306
740,Red Bluff Joint Union High,5230065,Red Bluff IS High,39,16.7179487179,0.313456053928
741,San Bernardino City Unified,3634680,Pacific High,114,33.4035087719,0.563017261764
742,Mountain Valley Unified,5337407,Hayfork High,45,55.7555555556,0.449406444319
743,Tracy Joint Unified,119040,John C. Kimball High,846,54.3711583924,0.622109275731
744,Rialto Unified,3630597,Rialto High,109,31.6880733945,0.797048080953
745,Morongo Unified,3636743,Twentynine Palms High,400,41.715,0.330801687764
746,Coast Unified,4032009,Coast Union High,84,61.7857142857,0.607917958502
747,New Haven Unified,134668,James Logan High,386,42.018134715,0.816524839006
748,Corona-Norco Unified,3331600,Corona High,1172,48.7875426621,0.47779425263
749,Pleasanton Unified,130583,Amador Valley High,2218,67.0338142471,0.670665009323
