,District,School Code,School Name,number,score,vote
741,San Joaquin County Office of Education,3930195,San Joaquin Co Juvenile Hal,17,0.0,0.484574111335
742,Rialto Unified,3630530,Zupanic High,11,18.0,0.797048080953
743,Irvine Unified,3030467,Alternative Education-San Joa,15,73.0,0.528330977772
744,San Diego Unified,3730884,Scripps Ranch High,1343,88.0148920328,0.602946365561
745,Albany City Unified,130294,MacGregor High (Continuation),16,6.0,0.893089005236
746,Taft Union High,1535905,Taft Union High,320,54.2875,0.191363777571
747,Vallejo City Unified,4870581,Home/hospital and independent study,43,28.4186046512,0.81387755102
748,Santa Ana Unified,3030475,Chavez (Cesar E. ) High,13,8.0,0.608246977547
749,Liberty Union High,730572,Independence High,189,31.7936507937,0.571727092258
750,River Delta Joint Unified,112078,Clarksburg Middle,27,63.0,0.528655597215
751,Porterville Unified,5432786,Monache High,553,64.0705244123,0.288544358312
752,Placentia-Yorba Linda Unified,3030483,La Entrada High,56,48.1428571429,0.502101078932
753,Modesto City High,5031380,Davis (Grace M.) High,297,55.632996633,0.557129407737
754,San Jose Unified,4332110,Broadway High,14,36.0,0.722009598445
755,Santa Ana Unified,3030491,Century High,38,36.8421052632,0.465191146881
756,Tracy Joint Unified,114140,George and Evelyn Stein Conti,35,20.0,0.628774661119
757,Kingsburg Joint Union High,1033695,Kingsburg High,536,62.6697761194,0.350026357406
758,Wheatland Union High,5838305,Wheatland Union High,344,55.0843023256,0.2325
759,West Contra Costa Unified,730598,Hercules High,455,57.3516483516,0.796276929513
760,Sierra Sands Unified,1531367,Burroughs High,679,67.8924889543,0.31420233463
761,Elk Grove Unified,3430311,"Calvine High, Cont.",23,0.0,0.724257282954
762,Del Norte County Unified,833004,Del Norte High,294,56.3843537415,0.407816091954
763,Saddleback Valley Unified,3030509,Mira Monte High (Alter.),18,56.0,0.475959441779
764,Petaluma Joint Union High,4935151,Petaluma High,663,76.8838612368,0.613377434767
765,Victor Valley Union High,110064,University Preparatory,201,87.0696517413,0.447736654306
766,Red Bluff Joint Union High,5230065,Red Bluff IS High,51,20.7058823529,0.313456053928
767,Contra Costa County Office of Education,730614,Golden Gate,29,3.41379310345,0.73651024615
768,San Bernardino City Unified,3634680,Pacific High,49,18.6326530612,0.563017261764
769,Tracy Joint Unified,119040,John C. Kimball High,1101,63.7011807448,0.622109275731
770,Rialto Unified,3630597,Rialto High,319,49.7742946708,0.797048080953
771,Morongo Unified,3636743,Twentynine Palms High,247,63.8663967611,0.330801687764
772,Coast Unified,4032009,Coast Union High,78,74.4102564103,0.607917958502
773,New Haven Unified,134668,James Logan High,1544,61.4229274611,0.816524839006
774,Oakland Unified,130575,LIFE Academy,59,35.813559322,0.88386797378
775,Corona-Norco Unified,3331600,Corona High,959,71.6277372263,0.47779425263
776,South San Francisco Unified,4130324,"Baden High, Cont.",17,24.0,0.823785517874
